PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A0930-00010-2008-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 132, 133, 136 TO 138 AT JALAN BUKIT MERAH (LIFT UPGRADING PROGRAMME) ON LOTS 1003W, 1004V, 1006T, 1710K, 1711N, 3627X & 3628L MK01|201440619|06/03/2014|162|2117699|0
A1185-00256-2008-BP01|RECONSTRUCTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 04340M MK26 AT 31 CHAPEL ROAD|201440622|06/03/2014|417|752000|1
A1193-00795-2007-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 10-STOREY AUTO SPARE-PARTS CENTRE INVOLVING ALTERATIONS TO THE BASEMENT, 1ST, 2ND, 3RD,4TH & 8TH STOREY ON LOT 00622X  TS12 AT 89 SHORT STREET GOLDEN WALL CENTRE|201440623|06/03/2014|11007|500000|0
E2118-00533-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 05348L MK 04 AT 90 JALAN HAJI ALIAS|201440626|06/03/2014|87|200000|1
A1196-00206-2012-BP01|RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE INVOLVING NEW EXTENSION OF 3RD STOREY ON LOT 4565L MK 22 AT 39 SURIN AVENUE|201440630|06/03/2014|424|500000|1
A0984-00001-2012-BP01|ADDITIONS & ALTERATIONS INVOLVING INTERNAL PARTITIONING WORKS TO THE EXISTING OFFICE AT 4TH & 5TH STOREY WITH ADDITION OF AN INTERNAL STAIRCASE FROM 4TH TO 5TH STOREY OF THE ATRIUM @ ORCHARD TOWER-2 ON LOT 00649X TS 20 AT 60B ORCHARD ROAD|201440631|06/03/2014|0|900000|0
E3315-00002-2013-BP01|MODERNIZATION OF EXISTING ESCALATOR FROM BASEMENT TO 4TH STOREY TO THE EXISTING 27-STOREY SHOPPING, ENTERTAINMENT AND RESIDENTIAL COMPLEX (THE RIVERWALK) ON LOT 218C TS 7 AT 20 UPPER CIRCULAR ROAD|201440632|06/03/2014|0|1212000|0
E3361-01291-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 01467L MK 22 AT 135 AROOZOO AVENUE|201440549|03/03/2014|110|245000|0
E2987-00002-2013-BP01|RC RETAINING WALL TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOTS 03339N & 07074L MK 04 AT 35 GROVE AVENUE (BUKIT TIMAH PLANNING AREA)|201440550|03/03/2014|0|35000|1
A1430-51562-2012-BP01|ADDITION & ALTERATION TO EXISTING 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE (WOODLANDS PLANNING AREA) ON LOT(S) 04406V  MK 13 AT 690F WOODLANDS DRIVE 75|201440557|03/03/2014|0|68100|0
A1120-00005-2010-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A ROOF GARDEN ON LOT 03011T MK 28 AT 30 LENGKONG TIGA|201440560|03/03/2014|572|900000|1
A1834-00023-2010-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING OUTDOOR PEDESTRIAN FOOTPATH AT ORCHID PARK SECONDARY SCHOOL WITH NEW SHELTER CONNECTING FROM EXISTING SIDE PEDESTRIAN GATE TO MAIN BUILDING (BLOCK F) ON LOTS 1226 AND 1433 PT MK19 AT 10 YISHUN STREET|201440563|04/03/2014|0|0|0
E0657-60804-2009-ST01|PROPOSED RAILING REPLACEMENT AT BLOCK 395 #19-434 BUKIT BATOK WEST AVENUE 5 ON LOT(S) 00449A  & 03812P  MK10 AT 395 BUKIT BATOK WEST AVENUE 5 #19-434 SINGAPORE 650395|201440564|04/03/2014|0|0|1
E3810-00020-2012-ST02|PROPOSED UPGRADING OF BERTH J10, J11 AND EXISTING STORAGE YARDS IN JURONG PORT (FOR UPGRADING OF EXISTING J16A AND J16B STORAGE YARDS) ON LOT(S) 00477A , 00483X , 00538X , 00759K , 00765L , 00766C , 00768W , 01263L , 01477P , 01552P , 01821A , 02177C , 02272V , 02515L , 02522V , 02523P , 02900N , 03543T , 03741N , 03782P , 03850C , 03854P , 03855T , 04175T , 04176A , 04177K , 04178N  & 04227W  MK06 AT JURONG PORT ROAD|201440565|04/03/2014|0|0|1
A1430-81562-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING DEVELOPMENT FOR M/S HOUSING DEVELOPMENT BOARD AT 1ST STOREY VOID DECK TO NEW SENIOR ACTIVITY CENTRE ON LOT 02191K TS24 AT BLOCK 51 HAVELOCK ROAD|201440567|04/03/2014|0|215700|0
A0418-01425-2011-BP01|RETENTION OF ADDITION & ALTERATION WORKS TO EXISTING SINGLE-USER GENERAL INDUSTRIAL DEVELOPMENT (JTC STANDARD E8 FACTORY) ON LOT 2241V MK13 AT 31 SENOKO SOUTH ROAD|201440568|04/03/2014|75|40000|0
E3972-00013-2012-BP01|ADDITION AND ALTERATION WORKS TO EXISTING 66KV ANN SIANG HILL SUBSTATION ON LOTS 00406V, 00641X TS03 AT ANN SIANG ROAD|201440571|04/03/2014|4384|670000|0
E2393-88801-2010-ST02|PROPOSED RECONSTRUCTION OF THE ENTIRE TIMBER ROOF AT MK24-98985A, 779 GEYLANG ROAD, SINGAPORE 389670 ON LOT(S) 98985A  MK24 AT 779 GEYLANG ROAD SINGAPORE 389670|201440572|04/03/2014|0|0|0
A1818-00229-2010-BP01|RECONSTRUCTION OF EXISTING 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 00646M TS26 AT 13A ROBIN ROAD|201440573|04/03/2014|261|200000|1
E2444-00042-2011-BP01|ADDITION OF 3-STOREY ANCILLARY OFFICE BUILDING AND ROTARY KILN INCINERATOR ON LOT 3353N MK 07 AT 21 TUAS VIEW CIRCUIT|201440574|04/03/2014|4841|5000000|0
A1758-00024-2012-BP01|NEW ERECTION OF 2-STOREY WITH ATTIC INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 95711X MK24 AT 25 SIANG KUANG AVENUE S347944|201440575|04/03/2014|338|1109467|1
A1771-00011-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PART 1ST STOREY VOID DECK TO SOCIAL SERVICE OFFICE ON LOT 03508W MK11 AT 9 TECK WHYE LANE|201440578|04/03/2014|117|200000|0
E4429-01318-2013-BP01|ADDITIONS AND ALTERATION  WORKS TO EXISTING ANCILLARY STRUCTURES WITH NEW ROOF OVER EXISTING TENNIS COURT  ON LOT(S) 557CPT  TS25 AT 9 ORANGE GROVE ROAD|201440580|04/03/2014|530|150000|0
E1436-00721-2010-BP01|PLATFORM EXTENSION TO THE EXISTING FACTORY ON LOT 2427C MK 6 AT 7 JALAN PESAWAT|201440582|04/03/2014|89|140000|0
A1607-00029-2010-BP01|CONSERVATION AND ADDITIONS & ALTERATIONS TO THE EXISTING SINGLE STOREY CONSERVED BUNGALOW WITH A 2 STOREY EXTENSION AND A SWIMMING POOL ON LOTS 03300X, 03304W & 03305V MK 02 AT 33 HOLLAND PARK|201440583|04/03/2014|1043|6000000|1
A2082-11129-2011-BP01|RECONSTRUCTION OF A 3 STOREY SEMI-DETACHED DWELLING HOUSEWITH A PROVISION FOR AN ATTIC ON LOT(S) 03503L  MK20 AT 101 LENTOR STREET|201440584|04/03/2014|0|0|1
A1674-00140-2011-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 4978W MK 27 AT 59 JALAN GREJA|201440585|04/03/2014|794|780000|1
A0592-00070-2012-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF A 3RD STOREY ON LOT 5035N MK28 AT 98 JALAN SIMPANG BEDOK|201440586|04/03/2014|353|480000|1
A1430-31415-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT FOR M/S HOUSING DEVELOPMENT BOARD AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE AT BLOCK 343 AT CLEMENTI AVENUE 5 (CLEMENTI PLANNING AREA) ON LOT(S) 03389C  MK05 AT CLEMENTI AVENUE 5|201440588|04/03/2014|0|87700|0
E3294-00004-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 05349L MK28 AT 26 MERAGI CLOSE (TAMPINES PLANNING AREA)|201440589|04/03/2014|68|99000|0
A1618-12209-2009-BP01|ADDITIONS & ALTERATIONS FOR BARRIER-FREE ACCESSIBILITY TO THE EXISTING 3-STOREY EUNOS COMMUNITY CLUB ON LOT 03695V MK 28 AT 180 BEDOK RESERVOIR ROAD.|201440587|04/03/2014|0|162870|0
A1690-00035-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 00716K MK 04 AT 4 TAN BOON CHONG AVENUE|201440590|04/03/2014|754|2000000|1
A2138-00003-2012-BP01|RECONSTRUCTION OF AN EXISTING SINGLE STOREY TERRACE CORNER DWELLING TO A 2-STOREY CORNER TERRACE HOUSE WITH AN ATTIC ON LOT 97997XMK 27 AT 2 DAFNE STREET (BEDOK PLANNING AREA)|201440591|04/03/2014|260|1500000|1
A1674-00022-2010-BP01|NEW ERECTION OF A 3 STOREY SEMI-DETACHED DWELLING HOUSE WITH A SWIMMING POOL AND ROOF TERRACE AT 86 SENNETT AVENUE (BEDOK PLANNING AREA) ON LOT(S) 05993X  MK27 AT 86 SENNETT AVENUE|201440592|04/03/2014|0|0|1
E2596-00009-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PART 2/PART 3-STOREY FACTORY ON LOT 02592N MK 13 AT 6 SENOKO SOUTH ROAD|201440633|06/03/2014|939|450000|0
A0562-01036-2010-BP01|ERECTION OF A 2-STOREY SEMI DETACHED DWELLING HOUSE WITH BASEMENT, ATTIC AND SWIMMING POOL ON LOT 2504C MK04 AT 26 LOTUS AVENUE|201440635|06/03/2014|682|1000000|1
E3228-00226-2011-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY SEMI DETACHED DWELLING HOUSE TO A 3-STOREY SEMI DETACHED DWELLING HOUSE ON LOT 06006K MK27 AT 29 JALAN HAJIJAH|201440636|06/03/2014|591|800000|1
E3003-00023-2011-ST10|ER 371 - WIDENING OF PAN ISLAND EXPRESSWAY FROM CLEMENTI AVENUE 6 TO BUKIT TIMAH EXPRESSWAY ON LOT(S) 01210N  MK16 AT UPPER BUKIT TIMAH ROAD SINGAPORE 588996|201440637|07/03/2014|0|0|0
A0884-11546-2011-BP01|ERECTION OF 11-STOREY MULTIPLE-USER (TOTAL: 270 UNITS) LIGHT INDUSTRIAL BUILDING COMPRISING OF 3-STOREY PODIUM WITH 8-STOREY TOWER BLOCK, ANCILLARY FACILITIES AND 1 ANCILLARY CANTEEN ON LOT 6932P (PLOT A2884400) MK 23 AT 62 UBI ROAD 1|201440638|07/03/2014|30944|35000000|0
A1533-00002-2010-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A BASEMENT ON LOT(S) 02907N  MK17 AT 31 SOMMERVILLE WALK SINGAPORE 358197|201440642|07/03/2014|875|2247000|1
A0884-13645-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING MEE TOH SCHOOL ON LOT 02117V PT MK21 AT 21 EDGEDALE PLAINS|201440644|07/03/2014|626|300000|0
A1033-00001-2010-BP01|ERECTION OF A PAIR OF 3-STOREY SEMI DETACHED DWELLING HOUSES EACH WITH ROOF TERRACE & SWIMMING POOL ON LOTS 00498W & 01276M TS 28 AT BUCKLEY ROAD|201440647|07/03/2014|829|2380000|2
A1430-91562-2012-BP01|NEW SENIOR ACTIVITY CENTRE ON LOT(S) 03794N  MK01 AT 80B TELOK BLANGAH STREET 31 SINGAPORE 102080|201440648|07/03/2014|0|224400|0
A1430-41561-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE AT BLOCK 484 FOR M/S HOUSING DEVELOPMENT BOARD ON LOT 02176V MK31 AT PASIR RIS DRIVE 4|201440596|07/03/2014|0|78400|0
A1245-00012-2011-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 01528A MK26 AT 173 JOO CHIAT TERRACE|201440651|07/03/2014|379|580000|1
A0928-00005-2013-BP01|EXTENSION & INTERNAL RENOVATION WORKS TO AN EXISTING EDUCATION CENTRE ON LOT 03752C MK01 AT BLOCK 3 JALAN BUKIT MERAH #01-5118 SINGAPORE 150003|201440652|07/03/2014|412|230400|0
A1702-00003-2013-BP01|RETENTION OF THE EXISTING SINGLE STOREY SHELTERS 1 AND 2 AT ADMIRALTY NATURE PARK ON LOT(S) 04808P & 04923L MK13 AT RIVERSIDE ROAD ADMIRALTY NATURE PARK|201440653|07/03/2014|39|0|0
A1326-00219-2012-BP01|ERECTION OF A SINGLE STOREY EQUIPMENT BUILDING ON LOT(S) 4613T  MK31 AT 9 ABINGDON ROAD SINGAPORE 499931|201440656|08/03/2014|249|1400000|0
A1015-00010-2011-BP01|RETENTION OF A GUARD HOUSE TO THE EXISTING PART 2-STOREY / PART 5-STOREY SINGLE-USER WAREHOUSE ON LOT(S) 03105V  MK07 AT 71 TUAS SOUTH AVENUE 1 SINGAPORE 637782|201440657|08/03/2014|20|33000|0
A1834-00001-2012-BP01|RECONFIGURATION OF EXISTING BUONA VISTA BUS TERMINAL (VT-343) ON LOTS 06974K, 06309V AND 06688T MK 04 AT NORTH BUONA VISTA ROAD / HOLLAND DRIVE|201440660|08/03/2014|2445|1193000|0
A1229-00002-2010-BP01|RECONSTRUCTION OF AN EXISTING 3 STOREY DETACHED DWELLING HOUSE WITH AN ADDITIONAL BASEMENT AND A SWIMMING POOL ON LOT 05522A MK04 AT 33 JALAN LIM TAI SEE|201440661|08/03/2014|667|2300000|1
E4399-00061-2013-BP01|ADDITIONS & ALTERATIONS OF EXISTING PART 4-STOREY / PART 8-STOREY WAREHOUSE WITH ANCILLARY OFFICE ON LOT 2079 MK 31 AT 19 LOYANG WAY|201440662|08/03/2014|55081|548000|0
A0571-00001-2011-BP01|ERECTION OF A 2-STOREY DETACHED HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 4478P AND LOT 04479T-PT MK25 AT NO. 3 WIMBORNE ROAD SINGAPORE 436625 (MARINE PARADE PLANNING AREA)|201440663|08/03/2014|935|2212000|1
A1430-41415-2012-BP01|EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT(S) 03601P  MK05 AT 379 CLEMENTI AVENUE 5 SINGAPORE 120379|201440664|08/03/2014|0|178500|0
A0964-00315-2011-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY CONSERVATION TERRACE DWELLING HOUSE WITH ATTIC AND ADDITION OF A 3-STOREY EXTENSION AT THE REAR ON LOT 00996A TS27 AT 124 CAIRNHILL ROAD|201440669|08/03/2014|96|2000000|1
A1430-11415-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT 03394X  MK19 AT BLOCK 440 YISHUN AVENUE 11|201440670|08/03/2014|0|89500|0
A1351-00644-2013-BP01|INTEGRATED VALIDATION PLANT TO THE EXISTING ULU PANDAN WATER RECLAMATION PLANT ON LOT 08337N MK05 AT OLD TOH TUCK ROAD|201440680|10/03/2014|0|0|0
A1817-10004-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING EDUCATION CENTRE AT 1ST STOREY VOID DECK OF BLOCK 702 ON LOT(S) 04595A MK 05 AT 702 WEST COAST ROAD #01-347|201440681|10/03/2014|0|191168|0
E3062-00106-2010-ST01|PROPOSED ERECTION OF AN ADVERTISING SIGNBOARD (PORCHE SIGNBOARD) ON LOT(S) 00299M  MK01 AT 23 LENG KEE ROAD SINGAPORE 159095|201440682|10/03/2014|0|0|1
E1485-00007-2013-ST01|PROPOSED CULVERT TO EXISTING TANGLIN TRUST SCHOOL ON LOT(S) 03095L , 03598X  & 04177P  MK03 AT 95 PORTSDOWN ROAD SINGAPORE 139299|201440683|10/03/2014|0|0|0
A0888-00104-2007-BP01|ALTERATIONS AND ADDITONS TO EXISTING CARPARK TO EXISTING 10-STOREY MULTIPLE-USER LIGHT INDUSTRIAL DEVELOPMENT ON LOT 1482 MK 1 AT 3791 JALAN BUKIT MERAH|201440686|10/03/2014|425|250000|0
A1450-01009-2010-BP01|ERECTION OF 2 UNITS OF 2-STOREY DETACHED HOUSE EACH WITH A BASEMENT AND A SWIMMING POOL ON LOTS 99573K, 99584P & 99585T MK 17 AT 3 TREVOSE CRESCENT(NOVENA PLANNING AREA)|201440688|10/03/2014|0|0|2
E3062-00110-2010-ST01|PROPOSED ERECTION OF AN OUTDOOR SIGNAGE AT NO 2 FISHERY PORT ROAD SINGAPORE 619746 ON LOT(S) 04097W  MK06 AT 2 FISHERY PORT ROAD SINGAPORE 619746|201440690|11/03/2014|0|0|0
A1866-00001-2011-BP01|ERECTION OF A 3-STOREY SEMI DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 00526L MK05 AT 10 JALAN SELANTING|201440694|11/03/2014|814|2730000|1
A1754-00021-2007-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 106 & 108 WITH NEW LIFTS/LIFT LOBBIES AT HOUGANG N1 C4 (PT) (LIFT UPGRADING PROGRAMME) ON LOTS 7561C, 7562M & 7563W PT MK22 AT HOUGANG AVENUE 1|201440695|11/03/2014|393|2905802|0
E3277-00005-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 1554L MK17 AT 30 JALAN GIRANG|201440696|11/03/2014|35|380000|0
A1974-00024-2011-BP01|NEW ERECTION OF COVERED LINKWAY FROM BLOCK 681 TO EXISTING COVERED LINKWAY BETWEEN BLOCK 683A AND 683B ON LOTS 02161K AND 02369X MK11 AT CHOA CHU KANG CRESCENT|201440697|11/03/2014|134|160000|0
A0506-00021-2013-BP01|ADDITION AND ALTERATION TO 1ST STOREY OF EXISTING SINGLE-USER LONZA CELL THERAPY PROJECT ON LOT 04262P MK 07 AT TUAS SOUTH AVENUE 9|201440698|11/03/2014|0|400000|0
A1756-00001-2009-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 2, 3, 6 & 10 (LUP) ON LOT 5727A MK05 AT TOH YI DRIVE|201440699|11/03/2014|0|975862|0
E2290-90095-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00614N MK 29 AT NO 76 PASIR RIS TERRACE|201440700|11/03/2014|41|400000|0
A1430-91561-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE (TAMPINES PLANNING AREA) ON LOT 03346C MK 28 AT BLK 245 TAMPINES STREET 21|201440701|11/03/2014|0|130300|0
E2476-00004-2013-BP01|ADDITIONS & ALTERATIONS TO AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 03906N MK 27 AT NO. 25 ELITE TERRACE|201440703|11/03/2014|68|370000|0
E2307-82016-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF AN NEW ATTIC ON LOT 04424L MK 26 AT 38 JAGO CLOSE|201440707|12/03/2014|450|300000|0
E3126-00903-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00347K MK 28 AT 25 JALAN LAPANG SINGAPORE 418983|201440706|12/03/2014|110|200000|1
A1924-01001-2011-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 2228A MK05 AT 1 FABER GROVE|201440708|12/03/2014|600|12000000|1
E3810-00006-2010-BP01|SINGAPORE LNG TERMINAL WITH ANCILLARY FACILITIES ON LOTS 02812T, 2883C, 2884M  & 2885W  MK34 AT 6 MERANTI VIEW|201440709|12/03/2014|22135|79287629|0
E3900-00049-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING PART SINGLE/PART 3-STOREY SINGLE-USER INDUSTRIAL BUILDINGS ON LOT 01143C MK 07 AT 12 TUAS AVENUE 10|201440711|12/03/2014|422|2100000|0
A0930-00003-2010-BP01|NEIGHBOURHOOD PARK AT CLEMENTI NEIGHBOURHOOD 3 ON LOT 07583W MK 05 AT CLEMENTI AVENUE 6|201440716|12/03/2014|143|2254521|0
A1278-01219-2012-BP01|PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF A NEW 3RD STOREY AND ATTIC ON LOT 942L MK 14 AT 38 HAZEL PARK TERRACE, SINGAPORE 678871|201440718|12/03/2014|511|838888|1
A1419-00013-2002-BP01|REINSTATEMENT OF 3 BLOCKS OF 1-STOREY STORAGE SHED, 1 BLOCK OF 1-STOREY MOULDING PLANT, 2 BLOCKS OF 1-STOREY WORKSHED TO EXISTING SAWMILLING COMPLEX ON LOTS 00450T & 00556N MK11 AT 29 SUNGEI KADUT STREET 4 SINGAPORE 729054|201440719|12/03/2014|0|0|0
A0506-00020-2013-BP01|ADDITION AND ALTERATION TO EXISTING SINGLE-USER BIOLOGICS BIOREACTOR PLANT ON LOT 04259P MK 07 AT 35 TUAS SOUTH AVENUE 6|201440720|12/03/2014|40|3500000|0
A1403-00014-2011-BP01|NEW ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 04318X MK18 AT 32 NERAM ROAD|201440721|12/03/2014|372|1200000|1
A1817-10003-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING EDUCATION CENTRE AT 1ST STOREY VOID DECK ON LOT 02974V  MK28 AT 106 TAMPINES STREET 11 #01-339|201440723|12/03/2014|0|202289|0
E3041-00008-2011-ST01|ROAD DIVERSION WORK AT MACPHERSON ESTATE AND UBI AVENUE 2 FOR DOWNTOWN LINE STAGE 3 ON LOT(S) 06668K  MK23, 08562M  MK24 AT UBI AVENUE 2 SINGAPORE 000000,  MACPHERSON ROAD SINGAPORE 000000|201440726|13/03/2014|0|0|0
A1974-00021-2011-BP01|ERECTION OF DROP-OFF PORCH BETWEEN BLOCK 454 AND BLOCK 456 ON LOT 03138W MK11 AT CHOA CHU KANG AVENUE 4|201440727|13/03/2014|0|0|0
E2393-80039-2012-BP01|ADDITIONS AND ALTERATIONS  TO EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT 95004A MK 26 AT 2 HARTLEY GROVE|201440728|13/03/2014|55|280000|0
E2416-00011-2010-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS AT SCOTTS ROAD AT SCOTTS ROAD|201440729|13/03/2014|0|0|0
E3062-00105-2010-ST01|PROPOSED ERECTION OF AN ADVERTISEMENT SIGNBOARD ON LOT 229 MK 01 AT 5 LENG KEE ROAD|201440730|13/03/2014|0|0|0
E2645-00146-2012-BP01|ADDITION OF CANTILEVER ROOF & LINKWAYS AT CENTRAL CO0NTROL ROOM (CCR) WITHIN EXISTING OIL REFINERY COMPLEX ON LOTS 9C, 10X, 20T, 21A, 22K, 67K, 126N, 127X, 128L, 129C, 130X, 264X, 267M, 99998A, & 99999K, MK34, PULAU BUKOM BESAR|201440733|13/03/2014|126|1109000|0
A0600-00013-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY CONSERVED SHOPHOUSE ON LOT 99452N TS06 AT 30 SMITH STREET|201440734|13/03/2014|295|200000|0
E3300-00026-2004-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-USER 2-STOREY JTC 'TYPE T8' TERRACE FACTORY ON LOT 2709 (PLOT A15807) MK 13 AT 60 WOODLANDS TERRACE|201440737|13/03/2014|217|100000|0
A1456-00159-2011-BP01|RECONSTRUCTION TO EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH A NEW 3RD STOREY AND AN ATTIC ON LOT 97938K MK22 AT 17 JALAN TANI|201440738|13/03/2014|495|680000|1
A1358-00005-2007-BP01|MAIN UPGRADING PROGRAMME FOR RESIDENTIAL BLOCKS 155, 156, 160 TO 164, CONSTRUCTION OF 1 MSCP BLOCK 161A, 2 ESS, 2 BIN CENTRES, 2 PRECINCT PAVILIONS, LINKWAYS AND GENERAL LANDSCAPE (QUEENSTOWN NEIGHBOURHOOD 6 CONTRACT 3, 5 & 7) ON LOTS 764, 765, 766, 787 & 788 MK01, 1128 & 1228 MK03 AT MEI LING STREET/STIRLING ROAD|201440739|13/03/2014|90136|27000000|0
A1644-00264-2012-BP01|ERECTION OF AN ADDITIONAL STOREY CUM ADDITIONS & ALTERATIONS TO THE EXISTING 3-STOREY SINGLE-USER INDUSTRIAL BUILDING ON LOT 16092X MK18 AT 4 SERANGOON NORTH AVENUE 5 S554532|201440743|13/03/2014|4956|8000000|0
E3302-01270-2013-ST01|PROPOSED ADDITION OF 1 NO 1 TON SINGLE GIRDER OVERHEAD CRANE TO EXISTING WAREHOUSE OF FACTORY DEVELOPMENT ON LOT 02876M MK 7 AT 30 TUAS AVENUE 2 SINGAPORE 639461|201440745|14/03/2014|0|0|0
E3062-00103-2010-ST01|PROPOSED ERCTION OF A ADVERTISEMENT SIGNBOARDAT 23 LENG KEE ROAD ON LOT(S) 0299M  MK01 AT 23 LENG KEE ROAD SINGAPORE 159095|201440746|14/03/2014|0|0|0
E0025-11184-2011-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH EXISTING BASEMENT AND SWIMMING POOL WITH A NEW ATTIC ON LOT 04381C MK04 AT 46 GARLICK AVENUE|201440747|14/03/2014|0|0|0
A1120-00009-2012-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02395W MK 02 AT 102 CORONATION ROAD|201440750|14/03/2014|453|800000|1
E1439-01148-2013-BP01|SINGLE-STOREY BUILDING TO EXISTING FACTORY ON LOT 00915V MK 07 AT NO.8 PIONEER SECTOR 1|201440751|14/03/2014|1728|1050000|0
A1614-00279-2011-BP01|RECONSTRUCTION TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH EXISTING BASEMENT & NEW ROOF GARDEN ON LOT 02149M MK04 AT 30 MOUNT SINAI AVENUE|201440753|14/03/2014|577|2300000|1
E1615-00024-2010-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOTS 03341K & 06977L (PT) MK 04 AT 39 GROVE AVENUE|201440754|14/03/2014|365|500000|1
