PROJECT REFERENCE NUMBER|DESCRIPTION|ARCHITECT|TOP NUMBER|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E3315-00002-2013-BP01|MODERNIZATION OF EXISTING ESCALATOR FROM BASEMENT TO 4TH STOREY TO THE EXISTING 27-STOREY SHOPPING, ENTERTAINMENT AND RESIDENTIAL COMPLEX (THE RIVERWALK) ON LOT 218C TS 7 AT 20 UPPER CIRCULAR ROAD - THIS TOP IS GRANTED FOR ESCALATOR E7 & E8 (3RD STOREY TO 4TH STOREY) ONLY|HENG KIM HUAT|201440243|07/02/2014||1212000|0
A0647-25804-2010-BP01|LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 4-STOREYS, 1 BLOCK OF 10-STOREYS, 2 BLOCKS OF 13-STOREYS RESIDENTIAL PUBLIC HOUSING ON LOT 06305V MK-22 AT HOUGANG AVE 8 & 10 -(BLK 431-434 AND 429)(THIS TOP IS GRANTED FOR BLK 432 LIFT B)|JOHN SEAH SENG NGUAN|201440246|07/02/2014|1800.0|22718974|0
A1860-01027-2010-BP01|CONSERVATION AND ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ROOF MEZZANINE INVOLVING A NEW 3-STOREY REAR EXTENSION WITH MEZZANINE ON LOT 99458L TS27 AT 85 EMERALD HILL ROAD SINGAPORE 229361 (NEWTON / ORCHARD PLANNING AREA)|CHNG HSI YEE CAROL|201440254|07/02/2014|530.47|1980000|0
A0781-00026-2010-BP01|HOUSING DEVELOPMENT COMPRISING 2 BLK OF 26-STOREY & 2 BLK OF 23-STOREY RESIDENTIAL BLDG  (TOTAL 521 UNTIS) WITH 1 BLK OF 6/6 STOREY MULTI-STOREY CAR PARK, ESS PRECINCT PAVILION  & FUTURE COMMUNITY FACILITIES AT SENGKANG N4C12 ON LOTS 4198C , 4267N , 4297K  & 4491A  MK 20 AT FERNVALE ROAD,  SENGKANG WEST WAY[THIS TOP IS ISSUED FOR BLOCKK 453B ONLY.]|WONG TOON JIN|201440244|07/02/2014|14134.67|13039429|0
A1369-00971-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 10 BLKS OF 15-STOREY RESIDENTIAL BUILDING (TOTAL 1036 UNITS) WITH COMMUNITY FACILITIES, 2 MULTI-STOREY CAR PARKS, PRECINCT PAVILION, ESS, EATING HOUSE & COMMERCIAL FACILITIES AT SENGKANG N2C40 & NEIGHBOURHOOD PARK ON LOT(S) 02339W  MK21 AT SENGKANG EAST AVENUE [THIS TOP IS ISSUED FOR BLK 279(MSCP) ONLY]|STEVEN LOW KONG YEN|201440258|09/02/2014|11086.584|10885758|0
A1533-00028-2012-BP01|NEW ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 2468T  MK04 AT 27 LILY AVENUE|LUA KOK LEONG|201440262|09/02/2014|434.9|825000|1
A0781-00032-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 17-STOREY RESIDENTIAL FLATS (TOTAL: 960 UNITS), 1 BLOCK OF MULTI-STOREY CARPARK WITH COMMUNAL FACILITIES & PRECINCT PAVILIONS ON LOT 02811A  MK29 AT TAMPINES CENTRAL 7/ TAMPINES CONCOURSE [TOP FOR BLK 522B ONLY]|WONG TOON JIN|201440264|09/02/2014|137550.03|138000000|0
E4184-00401-2012-ST05|PROPOSED 5TH LANE WIDENING OF FORT ROAD AND MOUNTBATTEN ROAD BETWEEN NICOLL HIGHWAY AND KAMPONG ARANG ROAD ON LOT(S) 03625A , 04739M , 04740L , 04766N , 04986T , 05413L , 05925P , 06064M , 06133X , 06134L , 06141V , 06163N , 06207C , 06420M , 06432L , 06433C , 97068V  & 98457V  MK25 AT KAMPONG ARANG ROAD|LIM KUAN POW|201440283|11/02/2014||0|0
A1278-01215-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC & SWIMMING POOL ON LOT 97187W MK 18 AT 59 CONWAY GROVE|MR HO POH KONG|201440285|11/02/2014|394.67|748000|1
A0768-00006-2012-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT TO A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND A NEW ATTIC ON LOT(S) 02151C MK04 AT 34 MOUNT SINAI AVENUE|LIM ENG KHOON|201440286|11/02/2014|628.58|891806|1
A0650-00101-2013-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 05501X MK 18 AT 11 GRACE PARK ( SERANGOON PLANNING AREA)|FREDDIE CHIA HO KHENG|201440287|11/02/2014||0|1
A0775-00025-2012-BP01|RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH NEW ATTIC ON LOT 03226K MK24 AT 24A LORONG HOW SUN|HO YAN YOY|201440288|11/02/2014|380.18|515000|1
A0647-25805-2010-BP01|PROPOSED LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 13-STOREYS RESIDENTIAL PUBLIC HOUSING ON LOT 06305V MK-22 AT HOUGANG AVE 8 & 10 (BLK 417-421)THIS TEMPORARY OCCUAPTION PERMIT IS GRANTED FOR BLOCK  421 LIFT B|MR JOHN SEAH SENG NGUAN|201440290|11/02/2014|3022.92|2278974|0
A2105-06115-2012-BP01|ADDITIONS & ALTERATIONS OF EXISTING INSTITUTIONAL BUILDING (FORMER GEYLANG SERAI VOCATIONAL INSTITUTE) FOR MINISTRY OF SOCIAL & FAMILY DEVELOPMENT (MSF)'S VOLUNTARY WELFARE ORGANISATION (VWO) HUB ON LOTS 01884L & 03529C MK23 AT 11 JALAN UBI|ABDUL JALIL KADIR MYDIN|201440291|11/02/2014|360.72|4905648|0
A0697-00004-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENTPRECINCT A & B CONSISTING OF BLOCKS 401, 402, 403, 404, 405, 407, 408, 409, 410, 410A, 411, 412, 413 AND 414 WITH NEW LIFTS / LIFT LOBBIES (LIFT UPGRADING PROGRAMME) ON LOT 6999L MK24 AT SERANGOON CENTRAL (TOP FOR BLOCK 401A LIFT ?A? ONLY)|NGOOI  NGOK  SAI|201440295|11/02/2014||0|0
A1106-00037-2012-BP01|RECONSTRUCTION TO THE EXISTING 3-STOREY INTERMEDIATE DWELLING HOUSE WITH ADDITION OF AN OPEN ROOF TERRACE ON LOT 07217W MK22 AT 37 SANDILANDS ROAD|TEO HONG YIN|201440298|11/02/2014|370.185|800000|1
A0673-00004-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCK 56 WITH NEW LIFT/LOBBY ON LOTS 5841N, 7827K, 7828N, 7829X, 8076X & 10660P MK27 AT NEW UPPER CHANGI ROAD [PARTIAL TOP FOR BLOCK 56 LIFT A]|SIW FER LIN|201440297|11/02/2014|12.25|73000|0
A1276-00445-2009-BP01|ERECTION OF A 11-STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL 40 UNITS) WITH ATTIC AND BASEMENT, CARPARKS ON 1ST STOREY AND BASEMENT STOREYS, SWIMMING POOL & GYM ON ATTIC ON LOT 04918W  MK25 AT 16 AMBER ROAD|CHIN HONG OON|201440299|11/02/2014|2882.22|10537152|40
A0743-10534-2010-BP01|ERECTION OF A 10 STOREY MULTIPLE USER LIGHT INDUSTRIAL DEVELOPMENT (TOTAL: 201 STRATA FACTORY UNITS) WITH CARPARKS AND SUBSTATION ON LOT 06470M  MK 23 AT NO. 140 PAYA LEBAR ROAD|GRACE YOUNG KOK INN|201440304|11/02/2014||0|0
A0720-00251-2012-BP01|ERECTION OF ONE PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC & A SWIMMING POOL ON LOT 94783X MK26 AT 5 ROSEBURN AVENUE|LOW KIM CHING|201440305|11/02/2014|1369.31|2200000|2
A1245-00005-2012-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC & SWIMMING POOL ON LOT 00862A MK22 AT 7 CHUAN HOE AVENUE|CHAN YAT WENG|201440307|11/02/2014|383.325|998700|1
A0224-06357-2012-BP01|NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 01198V MK28 AT 122A JALAN PARI BURONG|WONG KOK YAN|201440308|11/02/2014|556.58|970000|1
A1872-00616-2012-BP01|ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC & A SWIMMING POOL ON LOT 96985C MK 18 AT 28 CHISELHURST GROVE|LEE SONG WEE|201440310|11/02/2014|402.8|800000|1
A1255-01220-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING BLOCK MD4 & MD4A AT NATIONAL UNIVERSITY OF SINGAPORE ON LOTS 03891P, 03984K, 04340V, 04342T, 04343A, 05023L, 05025M MK03 AT 10 KENT RIDGE CRESCENT (THIS TOP IS FOR 1ST STOREY TO LOWER ROOF ONLY)|CHUNG TEIK KEONG|201440313|12/02/2014|58.7|25695000|0
A1334-00001-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND PROVISION OF A SWIMMING POOL ON LOTS 2066T TS 24 AT 10B NATHAN ROAD|ANNESLEY CHARLES WILKINSON|201440318|12/02/2014|744.83|3130000|1
A0489-00003-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 99597A MK 02 AT 29 REBECCA ROAD|RONNIE GOH SIEW HUAT|201440319|12/02/2014|925.27|2210000|1
A1962-00005-2012-BP01|RECONSTRUCTION TO AN EXISTING 2 STOREY SEMI DETACHED HOUSE WITH ADDITION OF AN ATTIC ON LOT(S) 3863  MK27 AT 6 JALAN LIMAU MANIS SINGAPORE 468336|KHOO SEY KEAT|201440370|17/02/2014|377.25|919419|1
A1872-00617-2012-BP01|ERECTION OF A PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A SWIMMING POOL, AN ATTIC AND AN OPEN ROOF TERRACE ON LOT 99016A  MK 18 AT 49 & 49A TAVISTOCK AVENUE|LEE SONG WEE|201440372|17/02/2014|851.27|1200000|2
A0847-00008-2010-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING HDB PUBLIC HOUSING LAYOUT AT TAMPINES PRECINCT BLOCKS 476, 477, 479, 480, 481, 482, 483 & 484 LUP ON LOTS 01536X, MK31 AT TAMPINES STREET 43, TAMPINES NEIGHBOURHOOD 4(THIS TEMPORARY OCCUPATION PERMIT IS ISSUED FOR LIFTS AT BLOCK 479 LIFT A, 483 LIFT A & 484 LIFT A)|YEO SOH CHOO|201440325|13/02/2014||0|0
A0418-01446-2012-BP01|ERECTION OF A 9-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT WITH ANCILLARY OFFICE, TEMPORARY ANCILLARY STAFF CANTEEN AND TEMPORARY ANCILLARY WORKERS' DORMITORY (40 WORKERS) ON LOT(S) 4485V & 4486P  MK06 AT JALAN BUROH[THIS PARTIAL TOP IS FOR THE WHOLE BUILDING AND BUILDING RAMP (EXCLUDING GOODS LIFT AT GRID N-P/2-3 FROM 1ST TO 9TH STOREY, LIFT MOTOR ROOM AT ROOF, COLD STORE 2A & 2B, STAGING AREA, PALETTE LIFT, LOBBY, MALE & FEMALE TOILET, UTILITY ROOM, EXTERNAL PASSAGEWAY, CONTAINER LOADING/UNLOADING BAYS AND DRIVEWAY AT 4TH STOREY LEVEL AND 5TH STOREY CONDENSER PLATFORM AT GRID 7-8/D-P)]|KHAW POH KOOI|201440330|13/02/2014||0|0
A0506-00043-2011-BP01|ERECTION OF A 26-STOREY COMMERCIAL BUILDING COMPRISING 20-STOREY OFFICES, 5-STOREY WITH 2 BASEMENT RETAIL AND 2 BASEMENT CAR PARK ON LOT 08630V, MK 5 AT BOON LAY WAY[THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR PLAYGROUND ON 4TH STOREY ONLY.]|LEE KUT CHEUNG|201440334|13/02/2014||0|0
A1666-00013-2012-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 01179M MK28 AT 122C JALAN PARI BURONG (BEDOK PLANNING AREA)|FONG KIN YEE BRENTON|201440336|13/02/2014|597.68|1200000|1
A1011-01145-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING CONSERVATION BUILDING AT CHIJMES - MONUMENT SITE (FORMER CHIJ) ON LOT 00419V  TS11 AT 30 VICTORIA STREET(THIS TOP IS GRANTED FOR EXISTING BLOCK F2, NEW PAVILION AND ORA AT 1ST STOREY {GRIDLINE F/27 TO EAST BOUNDARY LINE / F30 TO F/47})|YAP MONG LIN|201440338|13/02/2014|1193.41|1199389|0
A1553-00105-2012-BP01|ADDITION AND ALTERATION WORKS TO EXISTING SINGLE-USER DETACHED WAREHOUSE DEVELOPMENT WITH TEMPORARY SECONDARY WORKERS' DORMITORY (390 WORKERS) AND MINIMART ON LOT 01872K MK11 AT 53 SUNGEI KADUT LOOP|LIM KOON PARK|201440345|14/02/2014|8378.67|400000|0
A1360-00001-2012-BP01|RECONSTRUCTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC & A SWIMMING POOL ON LOT 97281P MUKIM 18 AT 7 COOLING CLOSE, SINGAPORE 558167|KEVIN SIM KWANG YANG|201440346|14/02/2014|605.27|180000|1
A1220-00001-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 31-STOREY RESIDENTIAL BUILDING (TOTAL 832 UNITS), 1 BLOCK OF MULTI-STOREY CAR PARK WITH ESS AND FUTURE COMMUNITY FACILITIES & PRECINCT PAVILION AT MARSILING ROAD/ MARSILING RISE ON 4103X  MK13 AT MARSILING ROAD/ MARSILING RISE[THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR BLOCK 181 (MULTI-STOREY CARPARK), SUBSTATION AND LINKWAY AT 1ST STOREY ONLY.]|CHIN THOE CHONG|201440347|14/02/2014||0|0
A0781-00026-2010-BP01|HOUSING DEVELOPMENT COMPRISING 2 BLK OF 26-STOREY RESIDENTIAL BLOCK (TOTAL 521 UNITS) WITH 1 BLK OF 6/6 STOREY MULTI-STOREY CAR PARK, ESS PRECINCT PAVILION  & FUTURE COMMUNITY FACILITIES AT SENGKANG N4C12 ON LOTS 4198C , 4267N , 4297K  & 4491A  MK 20 AT FERNVALE ROAD,  SENGKANG WEST WAY[THIS TEMPORRARY OCCUPATION PERMIT IS ISSUED FOR BLOCK 453A ONLY.]|WONG TOON JIN|201440348|14/02/2014|14134.67|13039429|0
A0814-00001-2011-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 14-STOREY TO 19-STOREY RESIDENTIAL BUILDING (TOTAL : 792 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNITY FACILITIES, ESS, CHILDCARE CENTRE, PRECINCT PAVILION AND RESIDENTS' COMMITTEE CENTRE (HOUGANG N4 C17) ON LOTS 02154A  & 02156N  MK 21, 09147C , 09456N  & 97709P  MK 22 AT UPPER SERANGOON CRESCENT -THIS TOP IS ISSUED FOR BLK 470C AND THE RC CENTRE AT BLK 471B ONLY|CHOY MENG YEW|201440350|14/02/2014|117545.0|113000000|0
A1207-00005-2013-BP01|ADDITIONS & ALTERATIONS TO BASEMENT 1, 2ND & 6TH STOREY, CHANGE OF USE FROM ROOF TO FACTORY AT 6TH STOREY, NEW ROOF AT 7TH STOREY AND FACADE WORKS FROM PART OF 1ST TO 4TH STOREY  OF EXISTING 8 STOREY BUILDING ON LOT 08503L MK 5 AT 31 INTERNATIONAL BUSINESS PARK|TEOH HAI PIN|201440352|14/02/2014|62944.52|12509600|0
A1485-00002-2010-BP01|HDB PUBLIC HOUSING DEVELOPMENT COMPRISING 3 RESIDENTIAL BLOCKS OF 16-STOREY AND 2 BLOCKS OF 15-STOREY (TOTAL 522 UNITS) WITH A MULTI-STOREY CARPARK BLOCK, ESS AND PRECINCT PAVILION (TAMPINES N8C26) ON LOTS 4245C  MK 28 AT TAMPINES AVENUE 5,  TAMPINES AVENUE 6- THIS TOP IS ISSUED FOR BLK 868A WITH LINKWAY (EXCLUDE EDUCATION CENTRE AT 1 STOREY) ONLY|LOH JU-HON|201440351|14/02/2014||0|0
A1578-00004-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 359 & 361 WITH NEW LIFTS/ LIFT LOBBIES & BLOCK ENTRANCE PORCHES  (LIFT UPGRADING PROGRAMME) ON LOT 7057V MK22 AT HOUGANG AVENUE 5 [PARTIAL TOP FOR BLOCK 359 LIFT A]|ANG MAE-LI|201440353|14/02/2014|162.85|10730500|0
A0489-00002-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 99596T MK02 AT 27 REBECCA ROAD|RONNIE GOH SIEW HUAT|201440358|15/02/2014|999.71|2210000|1
A1841-00005-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT(S) 03125M  MK02 AT 3 PEIRCE HILL SINGAPORE 248560|TAN KAY NGEE|201440362|15/02/2014|1262.52|5700000|1
A1688-01201-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 99382N MK24 AT 44 BELIMBING AVENUE SINGAPORE 349916 (TOA PAYOH PLANNING AREA)|HAN LOKE KWANG|201440363|15/02/2014|345.65|888000|1
A0537-00191-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING PUBLIC HOUSING DEVELOPMENT TO BLOCKS 168, 173 & 178 WOODLANDS STREET 11 / WOODLANDS STREET 13 (LIFT UPGRADING PROGRAMME) ON LOT(S) 1333N, 1334X, 1335L, 1336C, 1342V, 1343P, 1344T, 1345A, 1364N, 1366L, 1367C, 1368M, 1370C, 1371M, 1398C, 1399M, 2099N & 2836T MK13 - [THIS TOP IS ISSUED FOR BLOCK 168 (LIFT F, G, J & K) & BLOCK 173 (LIFT A, B, D & E) ONLY]|GOH PENG THONG|201440364|15/02/2014|1356.3|4983900|0
A1872-00602-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN OPEN ROOF TERRACE ON LOT 06757N MK17 AT 1 MOUNT ROSIE TERRACE SINGAPORE 308003|LEE SONG WEE|201440365|15/02/2014|478.27|1260000|1
A1822-00013-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 974 TO 980 WITH NEW LIFTS/LIFT LOBBIES ON LOT 1709A MK09 AT JURONG WEST STREET 93 (LIFT UPGRADING PROGRAMME) [PARTIAL TOP FOR BLOCK 975 LIFT C, BLOCK 978 LIFT A AND BLOCK 980 LIFT C ONLY]|CHEONG FOONG YEE|201440367|17/02/2014|2115.48|5644811|0
A0955-00012-2011-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A ROOF TERRACE ON LOT 01164C MK 3 AT 27 JALAN MAT JAMBOL SINGAPORE 119508|WONG LIN YI|201440369|17/02/2014|413.24|750000|1
A1676-00003-2012-BP01|RECONSTRUCTION TO AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 00620A MK 24 AT 67 HAPPY AVENUE EAST|VINCENT LIM CHEW MENG|201440374|17/02/2014|396.84|670000|0
A1596-00004-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE INTO A 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 01400C MK03 AT 17D NEO PEE TECK LANE|NEO SEI HWA|201440375|17/02/2014|354.44|450000|1
A1007-00011-2012-BP01|ERECTION OF A SINGLE-USER PART 2 / PART 3-STOREY GENERAL INDUSTRIAL BUILDING WITH TEMPORARY SECONDARY WORKERS DORMITORY (FOR 350 WORKERS) ON LOT 00444P MK 06 AT 5 NEYTHAL ROAD(THIS TOP IS FOR (FINAL PHASE) PRODUCTION AREA 1 [1ST STOREY] AND PRODUCTION AREA 3 AND LOADING / UNLOADING AREA AND CARPARK LOTS [2ND STOREY])|HO ANN SOON|201440378|17/02/2014|8987.82|8500000|0
A0847-00006-2010-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING HDB PUBLIC HOUSING LAYOUT AT PASIR RIS PRECINCT (BLOCKS 405 TO407,409,411, 412 & 424) LUP ON LOTS 01741T & 02072W MK 31 AT PASIR RIS DRIVE 6, PASIR RIS NEIGHBOURHOOD 4--THIS TOP ISSUED FOR 405 LIFT D , 407 LIFT D & 412 LIFT D ONLY|HAZEL YEO SOH CHOO|201440385|18/02/2014|3397.795|8800100|0
A1818-00285-2011-BP01|CHANGE OF USE FROM COMMERCIALTO HOTEL FOR 3 STOREY AND MEZZANINECONSERVATION SHOPHOUSE ON LOT 99675N, 99676X,00483P AND 00484T TS06 AT 202, 204, 206, 208, 210AND 212 SOUTH BRIDGE ROAD SINGAPORE 058751-THIS TEMPORARY OCCUPATION PERMIT IS GRANTED EXCEPT UNIT 206 -208 AT 1ST STOREY|CLEMENT TEH|201440388|18/02/2014|1906.5|3000000|0
A0236-00095-2006-BP01|NEW ERECTION OF A 20 STOREY HOTEL DEVELOPMENT WITH 2 BASEMENTS FORMING PART OF PROPOSED REDEVELOPMENT TO THE EXTG SCHP AND EXTG OE, A/A TO EXTG 2 STY CONSERVED BLDG, INCLUDING A SUBTERRANEAN PEDESTRIAN LINK WITH RETAIL USE AND A LINK BRIDGE ON LOT(S) 00473X, 00474L, 00475C, 00478V, 1413X & 1414L TS21 AT 277 ORCHARD ROAD [THIS TOP IS ONLY FOR BASEMENT 2 TO 7TH STOREY, M&E ROOM OF 9TH & 10TH STOREY AT GRID X17-21/Y1-Y4 AND M&E EQUIPMENT AT ROOF LEVEL - EXCLUDING HOTEL LOBBY AT 1ST STOREY].|EDWARD H Y WONG|201440389|18/02/2014||0|0
A1750-00161-2012-BP01|ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 8066X MK 17 AT 48A & 48B WATTEN ESTATE ROAD|GOH CHUAN CHYE|201440390|18/02/2014|697.54|1800000|2
A0814-00017-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 16-STOREY RESIDENTIALBUILDING (TOTAL 675 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES,ESS & PRECINCT PAVILION ON LOT 1995W  MK21 AT ANCHORVALE LINK/ SENGKANG EAST WAY[THIS PARTIAL TOP IS FOR BLOCK 332C WITH LINKWAY TO BLK 332 (MSCP) EXCLUDING CHILDCARE CENTRE ONLY]|CHOY MENG YEW|201440391|18/02/2014||0|0
A0980-00488-2011-BP01|PART 4-STOREY/ PART 9-STOREY EXTENSION WITH 2 BASEMENT CAR PARKS AND ADDITIONS & ALTERATIONS TO EXISTING SINGAPORE INSTITUTE OF MANAGEMENT MK05 ON LOTS 07006N, 08556P, 08774L AT 461 CLEMENTI ROAD (BUKIT TIMAH PLANNING AREA) - PHASE 2A-1 AT GRIDLINES B-E/11-15 AT 1ST STOREY; A-E/11-15 AT 2ND STOREY; 5-6 AT LEVEL 3 TO LEVEL 6 COMMUNAL SKY BRIDGE|CHEANG ENG CHENG JOSEPH|201440392|18/02/2014|56654.43|13700000|0
A1359-00319-2010-BP01|ERECTION OF 2 BLOCKS OF 8-STOREY FLATS (TOTAL 58 UNITS) WITH MECHANICAL CAR PARKING AND SURFACE CAR PARKING AND A SWIMMING POOL ON LOT 04240V  MK25 AT 8 LORONG 26 GEYLANG|QUEK LENG LENG|201440393|18/02/2014|3572.14|6299692|58
A0562-01115-2011-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC  ON LOT 01996P  MK22 AT 7 LORONG 4 REALTY PARK|CHUA SEE HOE|201440401|19/02/2014|484.51|800000|1
A0930-00006-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLK 1 TO 5 WITH NEW LIFTS ON LOTS 00012W, 00496A, 00520V, 00522T, 00524K, 00526X, 00528C, 00530L, 00532M, 00538K, 00540A, 00579V, 00632X, 01027M, 01028W, 01120W, 01190K, 99919N, 99921K, 99922N, 99925C, 99926M, 99927W, 99928V, 99935K  & 99939C TS 23 AT BLOCK 1-5 TANJONG PAGAR PLAZA-THIS TOP IS ISSUED FOR BLK 4 LIFT C ONLY|MOHD ASADUZ ZAMAN|201440404|19/02/2014|685.33|6300000|0
A1369-00970-2010-BP01|PUBLIC HOUSING DEVT COMPRISING 12 BLKS OF 15-STOREY RESIDENTIAL BLDG (TOTAL 1400 UNITS) WITH COMMUNITY FACILITIES, 1 BLK OF 6/6-STOREY & 1 BLK OF 6/7-STOREY MULTI-STOREY CARPARK, 2 NOS. OF PRECINCT PAVILIONS, ESS & A NEIGHBOURHOOD PARK AT YISHUN AVENUE 9 FOR NEIGHBOURHOOD 3 CONTRACT 23 ON LOT 3069W  MK 19 AT YISHUN AVENUE 9 - THIS TOP IS ISSUED TO BLK 315C & 316C ONLY|LOW KONG YEN STEVEN|201440406|19/02/2014|29558.42|18500000|0
A0704-47804-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 441 TO 455 WITH NEW LIFTS/LIFT LOBBIES ON LOT 13132V MK18 AT SIN MING AVENUE / BRIGHT HILL DRIVE [PHASE 6 TOP FOR BLOCK 447 LIFT 'A' ONLY]|LIM BOON LENG JOHN|201440407|19/02/2014|5440.44|13169300|0
A0571-00015-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03230W MK04 AT 7 GROVE LANE|ALOYSIUS CHUA TECK SENG|201440414|19/02/2014|688.73|1400000|1
A1231-00068-2013-BP01|ERECTION OF 2-STOREY FACTORY WITH BASEMENT AND ROOF GARDEN FOR DNV MTSIT LABORATORY ON LOT(S) 232W  MK07 AT 158A GUL CIRCLE|WONG SIEW WAH MICHAEL|201440416|19/02/2014|7818.94|12000000|0
A1595-00150-2012-BP01|RECONSTRUCTION TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 697C MK10 AT 30 LORONG PISANG UDANG|EDMUND LOW CHENG HAI|201440422|19/02/2014|318.99|525000|1
E4399-00061-2013-BP01|ADDITIONS & ALTERATIONS OF EXISTING PART 4-STOREY / PART 8-STOREY WAREHOUSE WITH ANCILLARY OFFICE ON LOT 2079 MK 31 AT 19 LOYANG WAY|KANG SWEE ANN|201440425|20/02/2014|55081.12|548000|0
A1472-00001-2012-BP01|ERECTION OF A 6-STOREY MULTI-USER RESEARCH & DEVELOPMENT BUILDING WITH A BASEMENT CAR PARK ON LOTS 01754V & 01773T  MK09 AT CLEANTECH VIEW/ CLEANTECH LOOP[TOP FOR BASEMENT AND 1ST TO 3RD STOREY ONLY]|TONG CHERNG YAW|201440428|20/02/2014|28788.45|58000000|0
