PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
A1276-00466-2009-CD05|PROPOSED ERECTION OF A 6-STOREY RESIDENTIAL BUILDING WITH ATTIC/ROOF GARDEN (TOTAL 20 UNITS) WITH BASEMENT MECHANIZED CARPARK WITH SWIMMING POOL AT 12 DEVONSHIRE ROAD ON LOT(S) 99734L  TS21 AT 12 DEVONSHIRE ROAD SINGAPORE 239847|25/02/2015
A0454-00466-2014-CD01|PROPOSED NEW ERECTION OF 3 STOREY INTERMEDIATE TERRACE DWELLINGHOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 06706K MK 26 AT 307 EAST COAST ROAD SINGAPORE 428955|16/02/2015
A1525-00006-2014-CD02|PROPOSED ERECTION OF 5-STOREY RESIDENTIAL FLATS WITH ATTIC (28 UNITS)  DEVELOPMENT WITH A SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 05413K & 05414N PT MK 22 AT 64-80 HILLSIDE DRIVE (HOUGANG PLANNING AREA)|18/02/2015
A1454-01271-2012-CD01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 00374X MK16 AT 10 STONE AVENUE|24/02/2015
A1454-01392-2013-CD02|PROPOSED ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC ON LOT 00433M MK18 AT 2 CASUARINA ROAD|03/02/2015
A1702-00002-2014-CD01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 01585C MK 18 AT 90 JALAN LEBAN (ANG MO KIO PLANNING AREA)|05/02/2015
A0833-01427-2014-CD02|PROPOSED NEW ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 00726L MK25 AT 798 MOUNTBATTEN ROAD (MARINE PARADE PLANNING AREA) SINGAPORE 437798|18/02/2015
A2084-00006-2014-CD01|PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03197L MK04 AT 30 MT SINAI ROAD SINGAPORE 276861|12/02/2015
A1614-00380-2014-CD02|PROPOSED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 04861N MK22 AT 10E ROBEY CRESCENT|13/02/2015
A1477-00001-2012-CD03|PROPOSED ERECTION OF 5 BLOCKS OF 18-STOREY CONDOMINIUM (TOTAL 337 UNITS) WITH 1 BASEMENT CARPARK, SWIMMING POOL & CLUBHOUSE FACILITIES AND 1 UNIT OF SHOP AT 105 TAMPINES ROAD & 107 TAMPINES ROAD, SINGAPORE (HOUGANG PLANNING AREA) ON LOT(S) 02248M , 02250C , 02278C , 02694X , 05163K , 99440A , 99453T  & 99478W  MK22 AT 105 TAMPINES ROAD SINGAPORE 535127,  107 TAMPINES ROAD SINGAPORE 535127|17/02/2015
A1618-00028-2013-CD02|PROPOSED ERECTION OF A PAIR OF 3-STOREY BACK TO BACK SEMI-DETACHED DWELLING HOUSES WITH ATTIC AND SWIMMING POOL ON LOT 01182P MK 20 AT 29 SPRINGLEAF LANE (YISHUN PLANNING AREA)|13/02/2015
A1273-00011-2008-CD03|PROPOSED ERECTION OF A BLOCK OF 33 STOREY RESIDENTIAL FLATS DEVELOPMENT (TOTAL 40 UNITS) WITH 3 BASEMENT CARPARKS, COMMUNAL FACILITIES AND A SWIMMING POOL ON LOT 99258W, 99259V, 99267N AND 99265A TS 24 AT 23 ANGULLIA PARK|06/02/2015
A1091-00001-2014-CD01|PROPOSED ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT(S) 2623C  MK05 AT WEST COAST TERRACE 62 SINGAPORE 127261|05/02/2015
A1648-00001-2014-CD01|PROPOSED ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 99333T MK15 AT 3 MARIGOLD DRIVE, ADELPHI PARK ESTATE, SINGAPORE 576384|18/02/2015
A1224-00007-2014-CD01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 32-STOREY AND 1 BLOCK OF 34-STOREY RESIDENTIAL BUILDING (TOTAL 738 UNITS) EACH WITH SKY TERRACES, 1 BLOCK OF MULTI-STOREY CAR PARK, 1  BLOCK OF 2-STOREY COMMUNITY FACILITIES, ESS AND PRECINCT PAVILION (KALLANG WHAMPOA CONTRACT 21) MK17 ON LOTS  00489N PT, 00667N, 00668X, 00669L, 00670N, 00671X, 00672L, 00673C, 00674M, 00675W, 00676V, 00677P, 00678T, 00679A, 00680P, 00681T, 06392L PT, 06394M, 06396V PT, 97975M PT, 97976W PT, 97977V PT, 97979T, 97981P PT, 97982T, 97983A, 97984K, 97985N, 97986X AT ST. GEORGE'S LANE (KALLANG)|09/02/2015
A2084-00008-2014-CD01|PROPOSED ERECTION OF OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03199M MK04 AT 34 MOUNT SINAI ROAD (BUKIT TIMAH PLANNING AREA)|13/02/2015
A2037-00009-2014-CD01|PROPOSED ERECTION OF 1 UNIT OF 2-STOREY SEMI-DETACHED HOUSE WITH AN ATTIC, A BASEMENT AND A SWIMMING POOL ON LOT(S) 02776M  MK04 AT 43 NAMLY CRESCENT SINGAPORE 267558|13/02/2015
A1753-00219-2014-CD03|PROPOSED ERECTION OF A 2 STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A BASEMENT ON LOT 01358K MK 15 AT NO.151 THOMSON RIDGE (BISHAN PLANNING AREA)|12/02/2015
A0814-00015-2013-CD01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 10 BLOCKS OF 14-STOREY, 3 BLOCKS OF 15-STOREY AND 1 BLOCK OF 16-STOREY RESIDENTIAL BUILDING (TOTAL : 1578 UNITS) WITH 2 BLOCKS OF MULTI-STOREY CARPARK WITH COMMERCIAL FACILITIES, CHILD CARE CENTRE, ESS, PRECINCT PAVILIONS AND SOCIAL COMMUNITY FACILITIES ON LOT(S) 4929W PT MK10|02/02/2015
A1519-00252-2013-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND SWIMMING POOL ON LOT 10530T MK 17 AT BERRIMA ROAD SINGAPORE|02/02/2015
A1753-00214-2013-CD02|PROPOSED STRATA LANDED TERRACE HOUSING DEVELOPMENT CONSISTING OF 14 UNITS OF 3-STOREY STRATA TERRACE HOUSES WITH BASEMENT, ATTIC, ROOF TERRACE AND SWIMMING POOL ON LOT 07048M, 07047C, 03546V AND 03547P MUKIM 26 ON 96, 98 AND 100 LORONG K TELOK KURAU|26/02/2015
A0909-00001-2008-CD03|PROPOSED ERECTION OF 3 BLOCKS OF 24 STOREY CONDOMINIUM HOUSING DEVELOPMENT (TOTAL 283 UNITS) WITH 2 BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT(S) 1603A  & 1833L  MK01|25/02/2015
A1533-00016-2013-CD01|PROPOSED NEW ERECTION OF A  2-STOREY DETACHED DWELLING HOUSE WITH A ROOF TERRACE ON LOT(S) 00923C  MK17 AT 4 DALKEITH ROAD SINGAPORE 299619|10/02/2015
A0781-00013-2011-CN04|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 26-STOREY RESIDENTIAL FLATS (TOTAL: 1150 UNITS), 1 BLOCK OF 6-STOREY MULTI-STOREY CARPARK WITH COMMUNAL FACILITIES & 2 PRECINCT PAVILIONS AND COMMON GREEN AT SENGKANG N4 C24 ON LOT 04181N, 04184C, 04187V, 04279A, 04439T, 04470W, 04486P MK20 AT FERNVALE LINK / SENGKANG WEST WAY, SINGAPORE 791439|18/02/2015
A0814-00010-2012-CN01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 20-STOREY, 4 BLOCKS OF 22-STOREY RESIDENTIAL BUILDING ( TOTAL : 1159  UNITS),  WITH 1 BLOCK OF MULTI-STOREY CARPARK WITH SUPERMARKET, ESS, PRECINCT PAVILIONS & 1 BLOCK OF 3-STOREY COMMERCIAL ON LOTS 02380V, 03629W PT, 03630C & 04814P PT, MK10 & 11 AT CHOA CHU KANG AVENUE 1 / KEAT HONG LINK (CHOA CHU KANG N8 C9/C10) ON LOT 02380V, 03629W, 03630C, 04814P MK10, MK11|24/02/2015
A1136-00001-2008-CN02|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING 5 BLOCKS OF 5 STOREY RESIDENTIAL FLATS WITH  ATTIC & 3 BLOCKS OF  2 STOREY STRATA TERRACE HOUSE WITH BASEMENT CARPARK AND ROOF TERRACE (TOTAL 222 UNITS) AND SWIMMING POOL ON LOT00876L, 00877C, 00878M, 00879W, 00880C, 00881M, 00882W, 00883V,00884P, 00885T, 00886A, 00887K, 00888N, 00889X, 00890K, 00898P, 00899T, 00900K, 00901N, 00902X, 00903L, 00904C, 00905M, 00906W, 01852M, 01854V, 02567X, 04919P, 04920W, 05509K, 05510T, 05511A, 09409W, 09720X MK26 AT , LORONG M TELOK KURAU, LORONG N TELOK KURAU|05/02/2015
A1002-00001-2011-CN01|PROPOSED AMENDMENT DEVELOPMENT OF A 2-STOREY DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 01647L, TS 25 AT 17 LERMIT ROAD (TANGLIN PLANNING AREA), SINGAPORE 258650|04/02/2015
A2081-38003-2014-CN01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION FOR AN ATTIC ON LOT 98534A MK 26 AT 3D FOWLIE ROAD, SINGAPORE 428477|02/02/2015
A0889-00103-2013-CN01|PROPOSED NEW ERECTION OF 3-STOREY CORNER TERRACE HOUSE WITH AN ATTIC ON LOT 08146M MK 22 AT NO. 93  PARK VILLAS RISE SINGAPORE 545331 [HOUGANG PLANNING AREA]|06/02/2015
E1615-00053-2013-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01621A MK 18 AT 15 JALAN TARUM SINGAPORE 576734|11/02/2015
A1595-00140-2011-CN01|PROPOSED ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 00847V MK 10 AT 2 JALAN INTAN,  SINGAPORE 668762|16/02/2015
A1403-00023-2012-CN01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT NO 10463L AT NO. 30 JALAN BAHASA (PLOT 6) (NOVENA PLANNING AREA)|27/02/2015
A1002-00002-2011-CN01|PROPOSED DEVELOPMENT OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT ON LOT 01646X, TS 25 AT 19 LERMIT ROAD (TANGLIN PLANNING AREA), SINGAPORE 258651|23/02/2015
A0781-00012-2011-CN05|PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 3 BLKS OF 21-STOREY,3 BLKS OF 14/16-STOREY,1 BLK OF 6/8-STOREY & 1 BLK OF 3-STOREY APARTMENTS (TOTAL:466 UNITS) & 1 BLK OF 2-STOREY ANCILLARY BUILDING WITH COMMON BASEMENT CARPARKS & COMMUNAL FACILITIES ON LOT 03573W MK11 AT , CHOA CHU KANG DRIVE, SINGAPORE 000000|17/02/2015
A0781-00010-2011-CN05|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 10 BLOCKS OF 15-STOREY APARTMENTS (TOTAL: 622 UNITS) WITH 2 BASEMENTS CARPARKS, LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT 02370L MK21 AT SENGKANG SQUARE, SINGAPORE 545090|26/02/2015
A1758-00048-2013-CN01|NEW ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01895A MK22 AT 9G DA SILVA LANE SINGAPORE 549742 (HOUGANG PLANNING AREA)|12/02/2015
A0712-00811-2011-CN01|PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 12 BLKS OF 17-STY RESIDENTIAL UNITS, 1 BLK OF 5-STY MULTI-STY CARPARK WITH ROOF GARDEN, ANCILLARY FACILITIES & SWIMMING POOL (TOTAL 728 UNITS) ON LOT 2472X MK 21 AT PUNGGOL WALK ON LOT 2472X MK21 AT , PUNGGOL FIELD WALK, SINGAPORE 000000|06/02/2015
A1403-00012-2013-CN01|PROPOSED NEW ERECTION OF A 2-STOREY CORNER TERRACE HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 03343X, 7145X MK 04  AT NO.43 GROVE AVENUE (BUKIT TIMAH PLANNING AREA), SINGAPORE 279206|26/02/2015
A1937-00029-2012-CN01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC ON LOT 05070X MK28, AT 16 JALAN SIMPANG BEDOK , SINGAPORE 488162|04/02/2015
A1267-00002-2011-CN01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 38-STOREY RESIDENTIAL FLATS (TOTAL 509 UNITS) WITH TWO BASEMENT CARPARKS, A LANDSCAPE DECK AND OTHER ANCILLARY FACILITIES ON LOT 16900T MK18|18/02/2015
E2554-00105-2013-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 98068M MK 18 AT 82 MEDWAY DRIVE SINGAPORE 556582|03/02/2015
A0930-00002-2012-CN02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 15-STOREY RESIDENTIAL BUILDING (TOTAL 476 UNITS) WITH MINIMART & 1 BLOCK OF ELECTRICAL SUBSTATION ON LOT 02024P MK19, AT YISHUN STREET 22 (YISHUN N2 C19)|02/02/2015
E2878-01442-2013-CN01|PROPOSED NEW ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH ATTIC ON LOT 93819X MK 26 AT NO. 18 BURNFOOT TERRACE (BEDOK PLANNING AREA) , SINGAPORE 459810|06/02/2015
A0930-00004-2011-CN03|PROPOSED PUBLIC HOUSING DEVELOPMENT OF 3 BLKS 26-STY, 3 BLKS 24-STY, 1 BLK 22-STY RESIDENTIAL BUILDINGS (TOTAL 1198 UNITS), 1 BLK MSCP WITH 2 NOS ESS, COMMERCIAL, PRECINCT PAVILION, COMMUNAL FACILITIES & COMMON GREEN AT FERNVALE STREET (SENGKANG N4 C27 & COMMON GREEN) ON LOT 03054A,04442T, 04486P, 04504X MK20 AT 471A, FERNVALE STREET, SINGAPORE 791471|03/02/2015
A1753-00216-2013-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01378T MK 10 AT 30 CHU LIN ROAD, SINGAPORE 669924|26/02/2015
A1002-00007-2006-CN01|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING 8 - BLOCKS OF 5-STOREY WITH AN ATTIC RESIDENTIAL FLATS (TOTAL: 55 UNITS) WITH A BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES (TANGLIN PLANNING AREA) ON LOT 65-17 TS25 AT , ANA HOTEL, NASSIM HILL, SINGAPORE 258506|16/02/2015
A1404-00338-2011-CN01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 5 STOREY FLATS (TOTAL 105 UNITS) WITH ATTIC AND A BASEMENT CAR PARK WITH PROVISION FOR A SWIMMING POOL AND COMMUNAL FACILITIES AT FOO KIM LIN ROAD ON LOT 2711V MK23 AT , FOO KIM LIN ROAD, SINGAPORE 419679|12/02/2015
A1674-00384-2013-CN01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 00963C MK04 AT 24 JALAN JELITA (BUKIT TIMAH PLANNING AREA)|11/02/2015
A2132-00106-2013-CN01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 1494M MK 28 AT 8 TAMAN SELAMAT, SINGAPORE 416413|02/02/2015
A1387-00373-2009-CN04|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 40/ 43-STOREY RESIDENTIAL BUILDINGS (TOTAL: 758 UNITS) WITH COVERED COMMUNAL LANDSCAPE AREAS, SKY TERRACES, 4-STOREY CAR PARK DECKS, COMMERCIAL & FUTURE COMMUNITY FACILITIES & ELECTRICAL SUB-STATION ON LOT 234L, 235C, 246N, 247X, 3452L, 3453C, 98931V, 98932P, 98933T, 98934A, 98935K, 98936N, 98937X, 98938L, 98939C, 98940X, 98941L, 98942C, 98943M, 98944W, 98945V, 98946P, 98947T, 98948A, 98949K, 98950T, 98951A, 98952K, 98953N, 98954X, 98955L, 98956C, 98957M, 98958W MK02 AT , DAWSON ROAD, SINGAPORE 142089|13/02/2015
A0909-00003-2007-CN02|PROPOSED ERECTION OF 2 BLOCKS OF 35 STOREYS CONDOMINIUM FLATS DEVELOPMENT (TOTAL 462 UNITS) WITH 2 BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 644T TS 21 AT GRANGE ROAD/ LEONIE HILL ROAD|05/02/2015
A1369-01356-2012-CN01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCK OF 38-STOREY,  RESIDENTIAL BUILDING (TOTAL 1179 UNITS) WITH MULTI-STOREY CAR PARK, ESS, PRECINCT PAVILION & COMMUNITY FACILITIES AT QUEENSTOWN RC25A, COMMONWEALTH AVE WEST / GHIM MOH LINK ON LOT 7039X, 7044C MK04|03/02/2015
A1553-00201-2011-CN01|PROPOSED NEW ERECTION OF 3 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 74 UNITS) WITH ATTIC, ROOF TERRACE, SWIMMING POOL, & BASEMENT CARPARKS ON LOT/S 07407P & 06100N MK 26 AT 70 & 72 LORONG K TELOK KURAU (BEDOK PLANNING AREA)|13/02/2015
A0780-11016-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH A BASEMENT AND ATTIC ON LOT 1889 MK17 AT 19, JALAN SEJARAH, SINGAPORE 299065|04/02/2015
A0781-00012-2011-CN04|PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 3 BLKS OF 21-STOREY,3 BLKS OF 14/16-STOREY,1 BLK OF 6/8-STOREY & 1 BLK OF 3-STOREY APARTMENTS (TOTAL:466 UNITS) & 1 BLK OF 2-STOREY ANCILLARY BUILDING WITH COMMON BASEMENT CARPARKS & COMMUNAL FACILITIES ON LOT 03573W MK11 AT , CHOA CHU KANG DRIVE, SINGAPORE 000000|10/02/2015
A1910-00001-2011-CN01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 4 BLKS OF 5-STY RESIDENTIAL BUILDING WITH ATTIC(TOTAL 435 UNITS) WITH BASEMENT CARPARK, CLUB HOUSE FACILITIES, TENNIS COURT AND SWIMMING POOL & ESS/DC AT JALAN SENDUDOK/SEMBAWANG RD/JALAN SERENGAM ON LOT 3425W MK19 AT 95, THE NAUTICAL, JALAN SENDUDOK, SINGAPORE 769473|13/02/2015
A1278-01138-2011-CN01|PROPOSED CONSERVATION / A&A TO EXT'G 3 UNITS OF 3-STY CONSERVATION BLDG & A NEW 6-STY REAR EXTN COMPRISING 3 UNITS OF SHOPS AT 1ST STY, 3 UNITS OF OFFICES AT 2ND STY,15 UNITS OF RESIDENTIAL APARTMENT FROM 3RD TO 6TH STY WITH ROOF TERRACE, A SWIMMING POOL AT 1ST STY AND MECHANISED CAR PARKS ON LOT 96289W, 96290C, 96291M MK17 AT BALESTIER ROAD|06/02/2015
A0969-01309-2013-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT 03636V MK18 AT 9, JALAN PELAJAU,   SINGAPORE 808704|03/02/2015
A1758-08011-2013-CN01|PROPOSED RECONSTRUCTION OF EXISTING SINGLE STOREY TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ROOF TERRACE ON LOT 98893M MK 22 AT 41B HILLSIDE DRIVE SINGAPORE 548970 (HOUGANG PLANNING AREA)|12/02/2015
A1378-00022-2011-CN03|PROPOSED NEW ERECTION OF A CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 6 BLOCKS OF 18 STOREY RESIDENTIAL BUILDINGS AND BASEMENT CARPARKS WITH SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 2453K MK21 AT SENGKANG EAST AVENUE|16/02/2015
A1296-40006-2013-CN01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SUNKEN SWIMMING POOL AT NO.27 BLOXHOME DRIVE, SINGAPORE 559722|12/02/2015
E1624-00262-2010-CN01|PROPOSED RECONSTRUCTION TO THE EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00879P MK28 AT 12A JLN SENANG, SINGAPORE 418299|06/02/2015
A1872-00653-2013-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND AN OPEN ROOF TERRACE ON LOT 01192K MK 27 AT 15 NORMA TERRACE SINGAPORE 456556|06/02/2015
A1994-00031-2012-CN01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 19/ 20-STOREY RESIDENTIAL BUILDING (TOTAL 524 UNITS), WITH CHILDCARE CENTRE, PRECINCT PAVILION, MULTI-STOREY CARPARK CUM ESS AND NEIGHBOURHOOD PARK AT CHOA CHU KANG AVENUE 7 (CHOA CHU KANG N8C8) ON LOT 04814P MK10 AT 814, PRECINCT PAVILION, CHOA CHU KANG AVENUE 7, SINGAPORE 680814|13/02/2015
A0849-00183-2009-CN05|PROPOSED WATERFRONT PUBLIC HOUSING DEVELOPMENT COMPRISING 3 INTERLINKED BLOCKS OF 18-STOREY RESIDENTIAL FLATS (TOTAL 1072 UNITS) WITH BASEMENT CAR PARKS, COMMERCIAL AND COMMUNAL FACILITIES ON LOT NO. 4174P PT, 1556X PT, 1242K PT, 1243N, 02045V PT, 2028V P & 2030W PT, MK 20 & MK 21 AT PUNGGOL WAY / PUNGGOL WALK (PUNGGOL WEST CONTRACTS 20)|04/02/2015
A2176-00002-2012-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND A BASEMENT ON LOT 01013N, MK 18 AT 12 JALAN CHEMPEDAK (ANG MO KIO PLANNING AREA), SINGAPORE 578395|16/02/2015
A1278-01316-2013-CN01|PROPOSED ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES WITH ROOF TERRACE EACH ON LOT 4615X MK 26 AT 59 CEYLON ROAD, SINGAPORE 429643|27/02/2015
A1703-10215-2013-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 00648K MK 18 AT 30 JALAN LANJUT, SINGAPORE 577673|16/02/2015
A1106-00055-2012-CN01|PROPOSED ERECTION OF A PAIR OF 3-STOREY BACK-TO-BACK SEMI-DETACHED DWELLING HOUSES EACH WITH A BASEMENT AND ROOF TERRACE, ON LOT 01328V, MK 10 AT 55 LORONG PISANG EMAS, (BUKIT TIMAH PLANNING AREA) SINGAPORE 597872|09/02/2015
E3618-00015-2012-CN01|PROPOSED RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 93654T MK 26 AT 68 SIGLAP DRIVE|12/02/2015
A1106-00044-2013-CN01|PROPOSED ERECTION OF A PAIR OF 2-STOREY DETACHED DWELLING HOUSES, EACH WITH A BASEMENT, ROOF TERRACE & A SWIMMING POOL ON LOT 02299M, MK 05 AT 44 FABER DRIVE, SINGAPORE 129374|16/02/2015
A1224-00005-2012-CN01|PROPOSED ERECTION OF A 3 - STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 02109N & 02110A MK 20 AT 73 & 75 FLORISSA PARK, SINGAPORE 789658|09/02/2015
A1211-12008-2012-CN01|PROPOSED ERECTION OF A 4-STOREY RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY DEVELOPMENT COMPRISING SHOPS & RESTAURANTS (45 UNITS) AT 1ST STOREY AND RESIDENTIAL FLATS ABOVE ( 55 FLAT UNITS) WITH ATTIC, BASEMENT CARPARK, SWIMMING POOL & COMMUNAL FACILITIES ON LOT 00638X, 01317MTS28 AT 275, THOMSON ROAD, NOVENA REGENCY, SINGAPORE 307645|25/02/2015
A1263-00045-2008-CN03|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 15 STOREY RESIDENTIAL BUILDING (TOTAL 852 UNITS), MULTI STOREY CARPARK, PRECINCT PAVILION & ESS ON LOT 10208P, 10211P, 5797N, 5798X, 7238C MK27 AT CHAI CHEE ROAD (BEDOK N8 C20)|13/02/2015
A0714-00001-2012-CN01|PROPOSED ERECTION OF 4 UNITS OF 2-STOREY SEMI-DETACHED DWELLING HOUSES EACH WITH AN ATTIC, BASEMENT & SWIMMING POOL MK16 ON LOT 00444K AT 69 HUA GUAN AVENUE  (BUKIT TIMAH PLANNING AREA), SINGAPORE 589165|02/02/2015
A1378-00002-2011-CN15|PROPOSED NEW ERECTION OF 14-BLOCKS OF 16 STOREY CONDOMINIUM HOUSING DEVELOPMENT [TOTAL 882 UNITS], COMPRISING OF 2 BASEMENT CARPARKS, COMMUNAL FACILITIES, SWIMMING POOL AND CONSERVATION OF MATILDA HOUSE AS CLUBHOUSE AT PUNGGOL CENTRAL / PUNGGOL WALK ON LOT 2411L MK21|02/02/2015
A1652-00028-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ROOF GARDEN, BASEMENT & A SWIMMING POOL ON LOT 05706M MK 04 AT NO. 8 WILBY ROAD, SINGAPORE (276297) BUKIT TIMAH PLANNING AREA|16/02/2015
A1614-00356-2013-CN01|PROPOSED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC ON LOT 1013V MK20 AT NO 62 JALAN TARI PIRING, SINGAPORE 799215|03/02/2015
A1511-00160-2008-CN02|PROPOSED NEW ERECTION OF PUBLIC HOUSING DEVELOPEMNT COMPRISING OF 3 BLKS OF 47 STY RESIDENTIAL BLDG (TOTAL 960 UNITS), 1 BLK OF MULTI-STOREY CAR PARK WITH COMMERCIAL AT 1ST STY & OTHER ANCILLARY FACILITIES ON LOT 03726A MK02  AT DAWSON ROAD|12/02/2015
A1571-00009-2013-CN01|PROPOSED NEW ERECTION OF A 3 STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC AND ROOF TERRACE MK 26 LOT 96812K AT 7 RAMBAI ROAD, SINGAPORE 424327|11/02/2015
