TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED ERECTION OF A 4-STOREY SINGLE USER WAREHOUSE WITH 2 LEVEL OF ANCILLARY OFFICES (PAYA LEBAR PLANNING AREA) ON LOT 00802X MK30 AT TAMPINES ROAD|NG KIANG JOO , PRIMAC ENGINEERING PTE LTD|EIO HOCK SIANG|JIN SUNG
PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A SWIMMING POOL ONLOT 02461K MK 27 AT 12 JALAN KUPANG ON LOT 02461K MK27 AT 12 JALAN KUPANG|YEO CHIN HUAT , OVERMARK DEVELOPMENT PTE LTD|ZHOU TONG QUAN|POH MEOW CHIA
PROPOSED ADDITION AND ALTERATION TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 2472 MK5 AT 63 ENG KONGTERRACE, SINGAPORE 599017.|RACHEL AW SIAO LING , MUN SOON INDUSTRIES PTE LTD|YEO LOCK HOE|YEO LOCK HOE
PROPOSED ERECTION OF A 2 STOREY SEMI-DETACHED HOUSE WITH PROVISION FOR AN ATTIC, BASEMENT AND SWIMMING POOL ON LOT 06156P MK18 AT 16 THOMSON VIEW|Orlanda S. Maronilla Seva Jr. , System Planner & Builder Pte Ltd|CHEONG KUAN LEONG|CONRAD CHUNG KONG WANN
PROPOSED ERECTION OF A SINGLE STOREY TEMPORARY BUILDING FOR NEGATIVE PRESSURE ROOMS AND ANCILLARY FACILITIES AT COMMUNICABLE DISEASE CENTRE 1, TS29-LOT 00872P-PT, 11 JALAN TAN TOCK SENG, SINGAPORE ON LOT 00872P TS29 AT 11 JALAN TAN TOCK SENG|Tng Gee Chong , BUILD MAX CONSTRUCTION PTE LTD|IRUDAYASAMY KANAGARAJ|ALVIN NG YEOH CHUI
PROPOSED ADDITION OF 2 LIFTS TO THE EXISTING 3-STOREY INDUSTRIAL BUILDING ON LOT 04752W MK05 AT 230 PANDAN LOOP|DIONISIO C. GONZALES JR , RAY INN FURNITURE & CONSTRUCTION PTE LTD|CHIN CHEE WAI|LEONG HOWE NGAI
PROPOSED ERECTION OF A RESIDENTIAL & COMMERCIAL DEVELOPMENT COMPRISING SHOPS (TOTAL: 57 UNITS) AT 1ST STOREY, BASEMENT CARPARK AND APARTMENTS ( TOTAL: 141 UNITS) AT 2ND-5TH STOREY WITH ATTIC AT MK23-02083X AT JALAN LOKAM (HOUGANG PLANNING AREA) ON LOT 02083X MK23 AT JALAN LOKAM|Julius Yee Mendoza , East Asia Engineering & Construction Pte Ltd|CHEN YUE FENG|HUAY XIAOXIAN
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH AN EXISTING ATTIC ON LOT 00450T MK04 AT 10 CYPRESS AVENUE|Cheng Beng Tong , Ching Heng Choy Building Construction Company|Tay Aik Jiun|NEO SEI HWA
PROPOSED ADDITION AND ALTERATION TO THE EXISTING 2-STOREY CONSERVED INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF ROOF MEZZANINE ON LOT 96517L MK 26 AT 11 KOON SENG ROAD|KOH BOON YEW , ZAC BUILDERS PTE LTD|M SIVAKUMARAN|HENG SWEE CHOON
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC AND A OPEN ROOF TERRACE AT 15 NORMA TERRACE SINGAPORE 456556 ON LOT 01192K MK27 AT 15 NORMA TERRACE|TAN CHUNG MENG , TS ONG CONSTRUCTION PTE LTD|TEO THIAN POH|LEE SONG WEE
PROPOSED DEMOLITION WORKS TO EXISTING 2 UNITS OF 4-STOREY BUILDINGS AT 12, 14 SCIENCE PARK DRIVE ON LOT 2504L, 2698N, 2699X & 4522K MK03 AT 12 SCIENCE PARK DRIVE, 14 SCIENCE PARK DRIVE|GOBI ELANGOVAN , LOH BROTHERS PTE LTD|NGAN SEE PYNG|
PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00724C MK 28 AT 71D JALAN SENANG|Lim Cheow Koon , Mofasis Pte Ltd|Chen Guangming|OOI JOO SAN
PROPOSED ERECTION OF  A 2-STOREY DETACHED DWELLING  HOUSE ON LOT 93881A MK 26 AT 13 BOWMONT GARDENS (BEDOK PLANNING AREA)|SIM CHIN HOCK , PLC (2006) PTE LTD|CHEN GUANGMING|ASHVINKUMAR SO KANTILAL
PROPOSED ADDITIONS AND ALTERATIONS FOR NEW ELECTRICAL ROOM AT LIQUID MODULE 2 CHANGI WATER RECLAMATION PLANT AT CHANGI EAST CLOSE|CHENG GHEE SIANG , ABINGDON CONSTRUCTION PTE LTD|NEO HUA BOOM|NEO HUA BOOM
PROPOSED ADDITIONS AND ALTERATIONS INVOLVING 2 ADDITIONAL SINGLE-STOREY SHEDS AT THE EXISTING SINGLE-USER INDUSTRIAL DEVELOPMENT ON LOT 01100W MK07 AT 11 TUAS CRESCENT|CHIA LIANG KHIANG , LAY CONSTRUCTION|NG TONG HAI|
PROPOSED ERECTION OF COVERED LINKWAYS (TEMPORARY FOR 5 YRS) ON LOT 407L, 305C AND 228X, TS30 AT MARINA COASTAL DRIVE|Radhakrishnan Kamalraj , Kai Engineering & Construction Pte Ltd|Poh Cher Seng|WAN SIEW FUNG
PROPOSED 10 STOREY COMMUNITY HOSPITAL INVOLVING 2 INPATIENT TOWER BLOCKS (TOTAL: 428 BEDS) & 1 GERIATRIC RESEARCH CENTRE TOWER WITH 2 BASEMENTS ON LOT 03648W MK 19 AT YISHUN CENTRAL (YISHUN PLANNING AREA)|ICHIRO OKAMOTO , KIMLY SHIMIZU JOINT VENTURE|CHOW WENG LEE,CHRISTINA KOH BEE CHOO|THEODORE CHAN ENG CHYE
PROPOSED HOIST BEAM TO EXISTING 3-STOREY SINGLE-USER FACTORY AT 2ND STOREY ON LOT 04930V MUKIM 13 AT 100 WOODLANDS AVENUE 7 SINGAPORE 738205 (SEMBAWANG PLANNING AREA)|TANG HONG CHIANG , ROTOMATIK (S) PTE LTD|LING BOON KOK|
PROPOSED EARTHWORK/SITE CLEARANCE, PLANNING & IMPLEMENTATION OF INFRASTRUCTURE AND ROAD RELATED FACILITIES PROJECTS AT PASIR RIS TOWN ON LOT 01248LPT, 01669WPT, 01911TPT, 01914N, 02187T, 02202KPT, 02203NPT, 02266XPT, 02746W & 02770APT MK29 AT PASIR RIS CENTRAL, PASIR RIS DRIVE 1|AUNG AUNG THU , Ban Chon Corporation & Trading Pte Ltd|POK MING WEE|
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 16/18/19-STOREY RESIDENTIAL BUILDING (TOTAL 1478 UNITS) WITH MULTI-STOREY CAR PARK, PRECINCT PAVILIONS, ESS, COMMERCIAL & COMMUNITY FACILITIES AT CHOA CHU KANG AVE 7/KEAT HONG LINK (CCK N8C6) ON LOT 04967A MK10 AT CHOA CHU KANG AVENUE 7|YANG FENG , KAY LIM CONSTRUCTION & TRADING PTE LTD|CHAI KIM POH|SIW FER LIN
PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 04591C MK 28 AT NO. 1B JALAN SENTOSA|GOH MENG HUAT , APEX DESIGN CONSTRUCTION (S) PTE LTD|CHOW GEE YEONG|CHU LIK REN
PROPOSED ADDITIONS & ALTERATIONS INVOLVING AN EXTENSION OF AN ELECTRICAL SUB-STATION TO EXISTING PART SINGLE/ PART 4-STOREYFACTORY ON LOTS 03873K & 03875X MK 07 AT TUAS SOUTH STREET 5|MARK EVAN SOLEDAD MATEO , SHINYO ENGINEERING & CONSTRUCTION PTE LTD|PHILIP YEO PENG YAM|THAM SIEW THONG PAUL
PROPOSED RECTIFICATION TO CORBELS AT THE EXPANSION JOINT TO NORTHLINK BUILDING ON LOT 03736A MK 13 AT NO. 10 ADMIRALTY STREET, SINGAPORE 757695|LOH CHANG KAAN , PRESSCRETE ENGINEERING PTE LTD|LAU TUNG NGIU|
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY, PART 3-STOREY SINGLE-USER FACTORY ON LOT 04750C MK05 AT PANDAN LOOP|Deigado Cefey Alvarez , Huason Construction Pte Ltd|Ang Choon Keat|YEO CHIN IUAN
PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 04329T MK24 AT 12 JALAN RAYA|LEE CHOONG HUAT, WILLIE , HAO WEI BUILDING SERVICES|TAY AIK JIUN|LOW KIM CHING
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLKS OF 15-STOREY RESIDENTIAL BUILDING (TOTAL 546 UNITS) WITH PRECINCT PAVILION & ESS AT BEDOK NORTH STREET 3  (BEDOK N5 C20) ON LOT 6853T MK28 AT 1 BEDOK NORTH STREET 3, 2 BEDOK NORTH STREET 3|LIM LAY MENG , LC&T BUILDER (1971) PTE. LTD.|NG SOON HUA|MOHD ASADUZ ZAMAN
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING JOGGING/CYCLING TRACK AND RESTING CORNER IN FRONT OF BLK 744(JURONG WEST PLANNING AREA) ON LOT 00544P, 00629V, 01353V & 01409P MK09 AT JURONG WEST STREET 73|CHENG CHEE LEONG , ML International Trading Pte ltd|LOOI POH YUN|LEE MUN HOE
PROPOSED ADDITIONS AND ALTERATIONS  AT THE ISTANA INVOLVING NEW ERECTION OF A 3-STOREY ANCILLARY OFFICE BLOCK AND DEMOLITION OF 3 EXISTING BLOCKS ON LOT 00683P & 00687N TS19 AT ORCHARD ROAD|KANDASAMY INDRAMOHAN , BRILLIANT GENERAL BUILDING CONSTRUCTION PTE LTD|SIM MUI LENG|MAUREEN SOH KEE SWEE
PROPOSED INTRA-ISLAND CABLEWAY AT SENTOSA COMPRISING 3 CABLEWAY STATIONS (SILOSO POINT STATION, IMBIAH STATION & FLOWER TERRACE STATION) AND 8 CABLEWAY TOWERS ON LOTS 00508L PT, 02234A PT, 02235K PT, 02288M PT, 02299X PT, 02302W PT, 02303V PT, 02304P PT, 0|JACOBUS JOHANNES POLAND , MCCONNELL DOWELL SOUTH EAST ASIA PTE LTD|HATFIELD RAYMOND LAURIE|
PROPOSED ADDITIONS & ALTERATION WORKS CONSISTING ERECTION OF SUPPORTING SYSTEM FOR 1 NUMBER OF INDOOR OVERHEAD TRAVELLING CRANE (3.2T CAPACITY) TO EXISTING MULTIPLE-USER TERRACE FACTORY UNIT NO.108 ON LOTS 3610M AND 3920L MK 07 AT TUAS SOUTH AVENUE 2|Muhammad Khaidir Bin Mohamed Amin , mhe-DEMAG (S) Pte Ltd|LEONG SOW HON|
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING HDB PUBLIC HOUSING LAYOUT AT BUKIT BATOK PRECINCT (BLK 360 TO 370 AND ELECTRICAL SUB-STATION) HIP ON LOT/S 2269C,2298X,2299L,2300M,2303P,2304T,2363W,2377W,2378V,2389C,2390X,2712X,3275M(P) MK10 AT BUKIT BAT|John Nie Zhiqiang , SOIL-BUILD PTE LTD|Lee Khim Chong|CHOY KAH KIN
PROPOSED ERECTION OF 1 BLK OF 10-STOREY, 1 BLK OF 11-STOREY & 2 BLKS OF 13-STOREY STUDENT HOSTEL DEVELOPMENT AND 1 BLK OF 4-STOREY MSCP WITH ANCILLARY FACILITIES ON LOT 00173W, 00175P, 00176T, 00178K, 00029L, 00385A, 01285K, 01287X & 01288L MK09 AT 76 NANYANG CRESCENT|CHUA GEE HUAT, KELVIN , EVER SAN CONSTRUCTION PTE LTD|LIU XIANMING|YEO SIEW HAIP
PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 02641K MK 18 AT 17 JALAN KETUMBIT SINGAPORE 808869|AYE PWINT KHAING , CONROY PTE LTD|YAP SOO HENG|
PROPOSED RECONSTRUCTION OF THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT TO A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND A NEW ATTIC ON LOT 02150L MK04 AT 32 MOUNT SINAI AVENUE|SEAH SEAK LENG, JOSEPH , SEAH GIM WAH CONSTRUCTION PTE LTD|TEO JIN KWEE|LIM ENG KHOON
PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 98934P MK 18 AT NO. 65 PORTCHESTER AVENUE|CHAN ZHAO WEI , SUN FONG TRADING PTE LTD|Tan Charng Cherng|POH MEOW CHIA
CONTACT TT185,  ENHANCEMENT OF EXPRESSWAY MONITORING AND ADVISORY SYSTEM (EMAS) - LAND TRANSPORT AUTHORITY - EAST COAST PARKWAY EXPRESSWAY SINGAPORE AT EAST COAST PARKWAY|SEE HUNG WAH , FONGSOON ENGINEERING (S) PTE LTD|CHEE SEE CHONG|
PROPOSED COVERED LINKWAY TO EXISTING BUS SHELTER ON LOT 01069A TS 13 AT BEACH ROAD|KOH TECK LEE , SHINCON INDUSTRIAL PTE LTD|CHUA HOCK BENG|LIM KOON YONG
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PASIR PANJANG TERMINAL BUILDING 1 INVOLVING NEW PARKING LOTS, CAR PARK SHELTER, COVERED LINKWAYS, NEW TOILET FACILITIES AND STORE ON LOT 3838W MK 3 AT PASIR PANJANG TERMINAL STREET E|Yong Chun Sek , JS METAL PTE. LTD.|TAN MENG LIANG|TAI WEE FOOK
PROPOSED ERECTION OF 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC, BASEMENT & SWIMMING POOL ON LOT 97142W MK 18 AT 63 CHISELHURST GROVE|KHAING TUN OO , LIAO NING CONSTRUCTION PTE LTD|ZHENG ZHIJIAN|SIEW GUAN HWA
PROPOSED ERECTION OF A 28-STOREY COMMERCIAL BUILDING COMPRISING 1-LEVEL SKY TERRACE WITH 6 BASEMENT (1 LEVEL OF CARPARK & 5 LEVEL OF MECHANISED CARPARK SYSTEM) ON LOTS 00167X, 00485M, 00488P, 00616W, 00691X, 99280A, 99289P, 99287W TS 01 AT ROBINSON ROAD/ M|Gobi Elangovan , Loh Brothers Pte Ltd|Allan Teo Kok Jin,Song Wee Ngee|MICHAEL NGU
PROPOSED ADDITION AND ALTERATION WORKS TO AN EXISTING 2 - STOREY FACTORY BUILDING ON LOT 2771L, MK07, AT 31 GUL CRESCENT|SATHISKUMAR ANBALAGAN , LKG ENGINEERING WORKS|SEOW TECK PANG|MICHIO FUJINAMI
PROPOSED ERECTION OF ONE BLOCK OF PART 7/PART 8-STOREY ANCILLARY OFFICE CUM CARPARK TO EXISTING SHIPYARD DEVELOPMENT ON LOTS 658L, 659C, 825W, 2036N, 3187A PT, 3194L PT, 2056C PT, 3997C, 3998M, 4006T, 3996L AND STATE FORESHORE [ PLOT A20935(A-I) & A0520300|AYE PA PA SWE , LABCON CONTRACTOR PTE LTD|TAN HOOI KIAT|
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING OILTANKING JETTIES PIPERACKS (VITOL UPGRADE PROJECT) ON LOTS 369C, 385L, 2351V & JTC LAND LOTS 1277A & 1265N & STATE FORESHORE MK 34 AT SERAYA AVENUE - JURONG ISLAND|TAN TECK SENG , ROTARY ENGINEERING LIMITED|HWANG TENG SUN|HWANG TENG SUN
PROPOSED ERECTION OF A 8-STOREY RESIDENTIAL  FLAT (TOTAL :42 UNITS) WITH ATTIC, SWIMMING POOL AND COMMUNAL FACILITIES, AND  MECHANISED CARPARKING SYSTEM ON LOTS 04310M MK 25 AT 28 LORONG 26 GEYLANG (GEYLANG PLANNING AREA)|LIM LAY HOCK , STL CONSTRUCTION PTE LTD|GARY NG WEE GIAP|CHIN HONG OON
PROPOSED ADDITIONS AND ALTERATIONS AND CHANGE OF USE FROM FORMER HONG WEN PRIMARY SCHOOL TO ELECTIONS DEPARTMENT TRAINING CENTER ON LOT 00381K TS 15 AT 508 VICTORIA STREET|CHEW CHUAN HAI , KJS CONSTRUCTION PTE LTD|ER.TAN BIN KEONG|HO YAN YOY
PROPOSED NEW ERECTION OF A 2-STOREY DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 248A MK 16 AT 42 CHESTNUT CRESCENT|LIM HONG CHIN , ESSCO DEVELOPMENT PTE LTD|ROBIN CHIA KAY HUA|EDMUND LOW CHENG HAI
PROPOSED DEVELOPMENT OF HOME TEAM TACTICAL CENTRE (PHASE 1)COMPRISING 3 NOS SCDF TRAINING FACILITIES, 3 NOS SPF TRAININGFACILITIES, 1 BLOCK(S) OF 1/2-STOREY TRAINING CUM STORE BUILDING, 4BLOCKS OF SINGLE STOREY TRAINING SHEDS, AND ANCILLARYBUILDING ON LOT 1283V, 1374T, 1375A, 1388T & 61A MK14 AT MANDAI ROAD|XIE JING @ XIE QING , JURONG PRIMEWIDE PTE LTD|Kang Jianhan|Shankar s/o Naganambalagaran Ramasamy
PROPOSED RE-DEVELOPMENT OF PROPERTY AT NO 90 EUNOS AVENUE 7 (LOT 2498X MK 23) INVOLVING ADDITION OF 2 STOREYS TO THE EXISTING REAR 4 ST OREY BLOCK AND DEMOLITION OF EXISTING 2 STOREY FRONT BLOCK TO RECONSTRUCT AS 5 STOREY NEW FACTORY BLOCK ON LOT 2498X MK23 AT 90 EUNOS AVENUE 7|Law Hwei Ping Veronica , Da-Qiao Enterprise Pte Ltd|Yap Ken Kuo Alan|Ang Choon Kiat
PROPOSED ERECTION OF A 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 1380C MK17 AT 60 JALAN SUKACHITA S(358936) (SERANGOON PLANNING AREA)|WONG SENG WEE , CONSTRUKT PTE. LTD.|AW BOON LEONG|TEH KAN WEE WAGEN
PROPOSED COVERED LINKWAY FROM  GREEN RIDGE PRIMARY SCHOOL SIDE GATE TO EXISTING BUS SHELTER ON LOTS 00992M PT, 00864K PT AND 01227X PT MK 14 AT JELAPANG ROAD|KOH TECK LEE , SHINCON INDUSTRIAL PTE LTD|CHENG KIM HUA|
CONSTRUCTION OF ROAD, DRAINS AND SEWERS AT TUAS SOUTH VIEW ON LOT 04605N & 0578N MK07 AT TEMP ROAD NAME|THAM WENG SOON , CHARTWORTH ENTERPRISE SINGAPORE PTE LTD|AW BOON LEONG|
PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH 2 BASEMENTS AND A SWIMMING POOL ON LOT 99154C MK04 AT 13 ASTRID HILL (BUKIT TIMAH PLANNING AREA)|Ang Chin Wei , DAIYA ENGINEERING & CONSTRUCTION PTE LTD|Benjamin Lau Chee Hoong|KO SHIOU HEE
CONTRACT NO. 9120382 - DESIGN, CONSTRUCTION AND COMPLETION OF EAST-WEST TRANSMISSION CABLE TUNNEL CONTRACT EW2 - TUNNEL FROM DUNEARN SHAFT TO MAY SHAFT ON LOT 03708T PT MK02 AT BUKIT TIMAH ROAD|LEE JIN HO , SK E&C (SINGAPORE BRANCH)|TANG WENG YEW,VALLIPURAM GANESHAN|
PROPOSED NEW ERECTION   OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 1163C MK04 AT 102C CORONATION ROAD WEST (BUKIT TIMAH PLANNING AREA)|Lee Beng Chuan , BUILDERS 265 PRIVATE LIMITED|DR YONG DEUNG MING|
PROPOSED NEW ERECTION   OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 1163C MK04 AT 102C CORONATION ROAD WEST (BUKIT TIMAH PLANNING AREA)|Lee Beng Chuan , BUILDERS 265 PRIVATE LIMITED|PUA TECK SENG|RENE TAN
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING 3-STOREY SEMI-DETACHED HOUSE ON LOT 3750C MK 10 AT 92E YUK TONG AVENUE|ADAMS LAWRENCE EUGENIO JUAN , MH BUILDERS PTE LTD|MOHAMAD AYUB HASSAN|LEE SONG WEE
PROPOSED ERECTION OF A 2 STOREY SEMI-DETACHED HOUSE WITH PROVISION FOR AN ATTIC, BASEMENT AND SWIMMING POOL ON LOT 06156P MK18 AT 16 THOMSON VIEW|Orlanda S. Maronilla Seva Jr. , System Planner & Builder Pte Ltd|Er Chong Keng Wee|
PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY DETACHED DWELLING HOUSE  WITH A TENNIS COURT AND SINGLE STOREY OUTHOUSE TO AN EXISTING 2-STOREY DETACHED  DWELLING HOUSE WITH A NEW BASEMENT, TENNIS COURT AND EXISTING SINGLE STOREY OUTHOUSE ON LOT 99196V MK1|LOH PEI SOON , RECO BUILDERS PTE LTD|LIM KEAN TEONG|KOH CHOON NGEE
PROPOSED ERECTION OF 3 UNITS OF 2-STOREY DETACHED DWELLING HOUSE EACH WITH AN ATTIC ON LOT 99417T MK17 AT 3 HARLYN ROAD (NOVENA PLANNING AREA)|Ang Chin Wei , Daiya Engineering & Construction Pte Ltd|ALEC CHEW KHEK HAN|KO SHIOU HEE
PROPOSED CONSTRUCTION OF DROP OFF PORCH AT BLOCK 414/415, SEMBAWANG DRIVE IN CANBERRA DIVISION AT MK-13, 05521K ON LOT 05521K MK13 AT SEMBAWANG DRIVE|YEE BENG KUAN , YEE CONSTRUCTION AND RENOVATION PTE LTD.|LOH KHIUK LING|STEVEN SIOW
PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 98565T MK 18 AT 63 COWDRAY AVENUE|DUAN SHAO LONG , WORKSHOPID & BUILD PTE LTD|ZHOU TONG QUAN|KOK ENG TIONG DESMOND
A) CONSTRUCTION OF SUMANG WALK AND VEHICULAR BRIDGE ACROSS PUNGGOL WATERWAYB) CONSTRUCTION OF SUMANG LINK (PART 2) ON LOT 2333K & 2522P MK21 AT SUMANG LINK|Low Choo Chong , Chye Joo Construction Pte Ltd|Tham Poh Kuan|
PROPOSED SHELTER TO OUTDOOR REFRESHMENT AREA (ORA) OF EXISTING EATING HOUSE ON LOT 01641W, MK 29 AT BLOCK 742A TAMPINES STREET 72 (UNIT #01-01) SINGAPORE 521742|TANG SOO TECK , HILLTOP CONTRACTOR PTE LTD|CHEONG KUAN LEONG|
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SINGLE STOREY FACTORY ON LOT 2447P MK 7 AT JALAN AHMAD IBRAHIM/TUAS ROAD|TAKASHI SATO , SATO KOGYO (S) PTE. LTD.|LIM BENG WOON|WONG TOON JIN
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN OPEN UNENCLOSED ROOF TERRACE AND STAIRCASE ON LOT 98667P MK 18 AT 72 PORTCHESTER AVENUE, SINGAPORE 556354|CHARLIE CHEW CHYE HUAT , VENT ENGINEERING PTE LTD|FOO CHEANG KAM|MR LOW JOO SENG
PROPOSED ERECTION OF 2 STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOTS 2354M, 99567W & 2355W MK15 AT NO.12 TORONTO ROAD (BISHAN PLANNING AREA)|ELISEO OLARTE PELIGRINO , DECON BUILDERS PTE LTD|KOH BOCK CHENG|TEOH HAI PIN
PROPOSED CONSTRUCTION OF A COVERED LINKWAYS FROM BLK 215 TO 217, FROM BLK 210 TO 215A AND CONSTRUCTION OF A COVERED SHELTER OVER EXISTING BARRIER-FREE ACCESSIBILTY (BFA) RAMP AT BLK 213 AND BLK 218 ON LOT 03778W, 03779V, 03781W, 04080X, 04081L, 04571L, 04572C, 04575V, 04580T & 04976V MK05 AT 210 JURONG EAST STREET 21, 213 JURONG EAST STREET 21, 215 JURONG EAST STREET 21, 218 JURONG EAST STREET 21|HENRY CHOE YONG CHAI , KINGSTEEL ENGG CONST P/L|TAN MENG LIANG|
PROPOSED ALTERATIONS AND ADDITIONS TO EXISTING 1/4/7 STOREY COMMERCIAL BUILDING ON LOT 99745N, 99752M & 99779C TS22 AT 226 OUTRAM ROAD|ANG SIN MOK , HOBBY CONSTRUCTION (PTE.) LTD.|LEE KHIM CHONG|MARK CHIN YEW WEI
PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 14-STOREY RESIDENTIAL UNITS WITH SWIMMING POOL, ANCILLARY FACILITIES AND 1 LEVEL BASEMENT CARPARK (TOTAL = 418 UNITS) ON LOT 6030P MK13 AT WOODLANDS AVENUE 6|Ye XinXiang , China Construction (South Pacific) Development Co Pte Ltd|SAMUEL KUAN|LAURENCE TAN JER KIAT
PROPOSED ADDITIONS AND ALTERATIONS OF AN EXISTING 3 STOREY TERRACE DWELLING HOUSE AT MK03 LOT 03766W NO 21 MAS KUNING TERRACE (CLEMENTI PLANNING AREA) ON LOT 03766W MK03 AT 21 MAS KUNING TERRACE|LOW CHUI NGOH , KHING DEVELOPMENT PTE. LTD.|Tan Jui Teck|WONG RUEI SUN
PROPOSED ERECTION OF A 12 STOREY MULTIPLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH ANCILLARY STAFF CANTEEN, CAR PARKING FLOOR AND SUBSTATION (TOTAL: 169 FACTORY UNITS) ON LOTS 00225X & 00226L MUKIM 14 AT MANDAI ESTATE (SUNGEI KADUT PLANNING AREA)|Mr. Lim Yew Ghee , Evan Lim & Co Pte Ltd|Mr. Chng Che Hwa|GRACE YOUNG KOK INN
PROPOSED NEW ERECTION OF A 3 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITHA PROVISION FOR AN ATTIC ON LOT 4793V MK17 AT 134 SHELFORD ROAD|TOH HONG YONG , TECH-COM CONSTRUCTION PTE LTD|CHONG KOAY MIN|Wilson Ling Huk Wai
PROPOSED PEDESTRIAN BRIDGE ACCESS TO FORT SILOSO AT LOTS 02676W PT,  MK 34 AT SENTOSA ISLAND (SOUTHERN ISLANDS PLANNING AREA) ON LOT 02676W MK34 AT TEMP ROAD NAME|THEN JOON SHIN , GAMMON PTE LIMITED|TAN SEE CHEE|
PROPOSED ERECTION OF A 6-STOREY RESIDENTIAL BUILDING WITH ATTIC/ROOF GARDEN (TOTAL 20 UNITS) WITH BASEMENT MECHANIZED CARPARK WITH SWIMMING POOL AT 12 DEVONSHIRE ROAD ON LOT 99734L TS21 AT 12 DEVONSHIRE ROAD|TEH HEAK LEONG , AUTHENTIC BUILDER PTE LTD|CHEANG JEN BOON|CHIN HONG OON
PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT & AN ATTIC ON LOT 03667C, MK 22 & LOT 3668M-PT, MK 22AT 39A ROSYTH ROAD, SINGAPORE 546205|Chokkaiah Chockaiya Raja Rajan , Greenfield Construction Pte ltd|Robin Chia Kay Hua|TEO HONG YIN
PROPOSED ERECTION OF A 16-STOREY DEVELOPMENT COMPRISING A 3-STOREY COMMERCIAL PODIUM FOR SHOPS & RESTAURANTS WITH 1-BASEMENT FOR SHOPS & RESTAURANTS AND 2 BLOCKS OF 9-STOREY RESIDENTIAL DEVELOPMENT AND 1 BLOCK OF 10-STOREY RESIDENTIAL DEVELOPMENT (TOTAL:24 ON LOT 01032L, 03061P, 03062T, 03969K, 07175P & 99473C MK25 AT 11 TANJONG KATONG ROAD, 13 TANJONG KATONG ROAD, 15 TANJONG KATONG ROAD, 17 TANJONG KATONG ROAD|YE XIN XIANG , CHINA CONSTRUCTION (SOUTH PACIFIC) DEVELOPMENT COMPANY PTE LTD|CHEN GUANGMING|YEO SIEW HAIP
