PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0819-01189-2011-BP02|PROPOSED UPGRADING WORKS TO COMMON AREAS TO EXISTING OCBC TAMPINES CENTRE ONE (OTC 1) ON LOT(S) 01825N  MK29 AT TAMPINES CENTRAL 1 OTC 1|ON LOT(S) 01825N  MK29 AT TAMPINES CENTRAL 1 OTC 1|MR LEE MUN HOE 3PA INTERNATIONAL|Mr SNG JIEK WAI J. ROGER PRESTON & PARTNERS|03/02/2014
A0818-00038-2010-BP01|PROPOSED CONVERSION AND ADDITION & ALTERATION WORKS TO EXISTING  1ST STOREY HDB VOID DECK TO CHILD CARE CENTRE ON LOT 10484V MK 17  AT BLOCK 236 LORONG 1 TOA PAYOH  SINGAPORE 310236|ON LOT(S) 10484V  MK17 AT 236 LORONG 1 TOA PAYOH SINGAPORE 310236|MR LEE CHEE PENG L&L CONSULTANTS|ER TAN MENG LIANG MTECH CONSULTANTS|26/02/2014
A0817-00314-2012-BP03|PROPOSED ERECTION OF A BLOCK OF 3-STOREY SINGLE-USER INDUSTRIAL BUILDING ON LOT 1577W (PLOT A2224400) MK 07 AT NO.35 TUAS AVENUE 13 (TUAS PLANNING AREA)|ON LOT(S) 1577W  MK07 AT 35 TUAS AVENUE 13|ER GOH CHIN KOON GLT ENGINEERS PRIVATE|ER GOH CHIN KOON GLT ENGINEERS PRIVATE,ER SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,ER Feng Tian Ming Kee Fong Engineering Consultants|09/02/2015
A0816-00385-2013-BP03|PROPOSED ERECTION OF 3 BLOCKS OF 5 STOREY RESIDENTIAL FLAT WITH ROOF TERRACE (TOTAL 74 UNITS), A BASEMENT CAR PARK WITH PROVISION FOR A SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 02967K  MK 18 AT UPPER THOMSON ROAD (ANG MO KIO PLANNING AREA)|ON LOT(S) 02967K  MK18 AT UPPER THOMSON ROAD|MR HO SEOW HUI JGP ARCHITECTURE (S) PTE LTD|Mr WANG KHANG NENG EPM CONSULTANTS|18/02/2015
A0814-00015-2012-BP03|PROPOSED ERECTION OF RESIDENTIAL FLAT DEVELOPMENT COMPRISING OF 3 BLOCKS OF 21 STOREY AND 10 UNITS OF 3 STOREY STRATA SEMI-DETACHED (TOTAL: 445 UNITS) WITH 2 LEVELS OF BASEMENT CARPARK, SWIMMING POOL, LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT(S) 17575V  MK18 AT BRIGHT HILL DRIVE|ON LOT(S) 17575V  MK18 AT BRIGHT HILL DRIVE|MR CHOY MENG YEW P&T CONSULTANTS PTE LTD|Mr NG EUGENE TEP CONSULTANTS PTE LTD,Mr CHEN YUE FENG KTP CONSULTANTS PTE LTD|05/02/2014
A0814-00018-2012-BP01|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING OF 4 BLOCKS OF 5-STOREY AND 3 BLOCKS OF 23-STOREY RESIDENTIAL BUILDINGS (TOTAL: 469 UNITS) WITH BASEMENT CARPARK, SWIMMING POOL, LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT(S) 02268M  TS24 AT PRINCE CHARLES CRESCENT|ON LOT(S) 02268M  TS24 AT PRINCE CHARLES CRESCENT|MR CHOY MENG YEW P & T CONSULTANTS PTE LTD|Mr LEUNG WAI MAN P & T CONSULTANTS PTE LTD,Mr CHEN GUANGMING CGM ENGINEERING CONSULTANTS|18/02/2014
A0814-00024-2006-BP08|PROPOSED ERECTION OF A BLOCK OF 33 STOREY CONDOMINIUM DEVELOPMENT ( TOTAL : 43 UNITS ) WITH A BASEMENT CARPARK, SWIMMING POOL, TENNIS COURT AND CLUBHOUSE FACILITIES ON LOT 715N TS 25 AT ARDMORE PARK ( NEWTON PLANNING AREA )|ON LOT(S) 715N  TS25|MR CHOY MENG YEW P & T CONSULTANTS PTE LTD|Mr YAP KOK CHEONG ,Mr LEUNG WAI MAN P & T CONSULTANTS PTE LTD,Mr LAU TUNG NGIU DPC CONSULTING ENGINEERS,Mr LIM KEAN TEONG TNJ CONSULTANTS LLP|07/02/2014
A0816-00260-2007-BP03|PROPOSED ERECTION OF 1 BLOCK OF 35 STOREY FLATS (TOTAL 105 UNITS) WITH A SURFACE AND MULTI-STOREY CAR PARKS AND SKY TERRACE AND PROVISION FOR A SWIMMING POOL ON LOT 937V TS 21 AT RIVER VALLEY CLOSE (RIVER VALLEY PLANNING AREA)|ON LOT(S) 937V  TS21 AT RIVER VALLEY CLOSE|MR HO SEOW HUI JGP ARCHITECTURE (S) PTE LTD|CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS,Mr KOH BOCK CHENG BC KOH CONSULTING ENGINEERS LLP,Mr LEE BEE WAH LBW CONSULTANTS, TANG ING HUA ASTON CONSULTING ENGINEERS,Mr YEE KAI WAI LBW CONSULTANTS LLP|26/02/2014
A0814-00003-2014-BP02|PROPOSED FLAT DEVELOPMENT COMPRISING 9 BLK OF 16-STY RESI & 6 UNIT OF 2-STOREY STRATA TERRACE & A PAIR OF STRATA SEMI-DETACHED (TOTAL: 1165 UNITS) & RETAIL SHOP AT PODIUM (TOTAL: 6 UNITS) WITH 1-STOREY PODIUM CARPARK, BASEMENT CARPARK, TENNIS COURT, SWIMM ON LOT(S) 9752A  MK22 AT UPPER SERANGOON VIEW|ON LOT(S) 9752A  MK22 AT UPPER SERANGOON VIEW|MR CHOY MENG YEW P&T CONSULTANTS PTE LTD|ER TAN CHEE HEAN P&T Consultants Pte Ltd,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|27/02/2015
A0808-00028-2014-BP01|PROPOSED NEW ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 97442P MK 18 AT NO 36 BLANDFORD DRIVE|ON LOT(S) 97442P  MK18 AT 36 BLANDFORD DRIVE|MR YEO AIK KHOON|ER TAY AIK JIUN A.J. INGENIEURS|09/02/2015
A0805-01255-2012-BP02|PROPOSED ERECTION OF A 7-STOREY (SINGLE USER) LIGHT AND CLEAN INDUSTRIAL BUILDING DEVELOPMENTAT TAI SENG STREET/AIRPORT ROAD. ON LOT(S) 6479L  & 6977P  MK23|ON LOT(S) 6479L  & 6977P  MK23|MR EVERT C VICKERY ARCHITECTS TEAM 3 PTE LTD|Mr CHNG CHE HWA CHC ENGINEERING CONSULTANTS,Mr FOO SOON KWEE BC KOH & PARTNERS  LLP|24/02/2014
A0799-11903-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 4-STOREY SALLIM MATTAR MOSQUE WITH THE ADDITION OF A LIFT ON LOT 09355M MK 24 AT 1 MATTAR ROAD|ON LOT(S) 9355M  MK24 AT 1 MATTAR ROAD|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD|ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER KEE CHING GUAN CIVIL AND GEOTECHNICAL ASSOCIATES|04/02/2015
A0799-01228-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING PART SINGLE STOREY, PART 2-STOREY AND PART 3-STOREY HELICOPTER REPAIR WORKSHOP (SINGLE USER) ON LOTS 4520N AND 4544P(PLOT 2724800) MK20 AT NO. 110 SELETAR AEROSPACE VIEW|ON LOT(S) 4520N  & 4544P  MK20 AT 110 SELETAR AEROSPACE VIEW|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD|ER BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD|09/02/2015
A0799-01163-2012-BP01|PROPOSED ERECTION OF A TWO-STOREY RECREATION BUILDING ON LOT 06858K PT MK 25 AT RHU CROSS|ON LOT(S) 06858K  MK25|MR LIU KAH TECK LIU & WO ARCHITECTS PTE. LTD.|Mr BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD|06/02/2014
A0799-01169-2013-BP01|PROPOSED RECONSTRUCTION OF AN EXISTING SINGLE STOREY BUILDING TO PART SINGLE / PART 3 STOREY LANDED HOUSE ON LOT 99695C MK 26 AT 139 ONAN ROAD (GEYLANG PLANNING AREA)|ON LOT(S) 99695C  MK26|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD||25/02/2014
A0784-01399-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING UNITS, #01-09,#01-10 AND #01-16 OF PASIR RIS SPORTS AND RECREATION CENTRE TO BECOME SOCIAL SERVICE OFFICE AT 120 PASIR RIS CENTRAL ON LOT 02790X MK 29 (PASIR RIS PLANNING AREA)|ON LOT(S) 02790X  MK29 AT PASIR RIS CENTRAL|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD||25/02/2015
A0784-01417-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING UNIT #01-173 FOR USE AS SOCIAL SERVICE OFFICE AT BLK 315 SEMBAWANG VISTA ON LOT 03265N MK 13 (SEMBAWANG PLANNING AREA)|ON LOT(S) 03265N  MK13|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD||26/02/2015
A0781-00024-2010-BP02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 15-STOREY RESIDENTIAL FLATS (TOTAL 364 UNITS) WITH BASEMENT CARPARK, COMMUNAL FACILITIES, PRECINCT PAVILION, E-DECK & ESS ON LOT 02564A MK 19 AT YISHUN RING ROAD - NEIGHBOURHOOD 3 CONTRACT 20|ON LOT(S) 02564A  MK19 AT YISHUN RING ROAD|MR WONG TOON JIN ADDP ARCHITECTS|Mr TAN SIANG JICK DE CONSULTANTS (S) PTE LTD,Mr HO YU CHEE DE CONSULTANTS PTE,Mr SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD, ZHOU TONGQUAN TENWIT CONSULTANTS PTE LTD,ER PHANG SIEW KHEONG CPG CONSULTANTS PTE LTD|20/02/2014
A0784-01181-2012-BP03|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING 4-STOREY CHANGI-SIMEI COMMUNITY CLUB WITH PROVISION OF A 5TH STOREY ON LOTS 04742P, 04735C PT & 06279L PT MK 28 AT 10 SIMEI STREET 2 (TAMPINES PLANNING AREA)|ON LOT(S) 04735C , 04742P  & 06279L  MK28 AT 10 SIMEI STREET 2|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD|ER SEOW TECK PANG TP SEOW CONSULTANTS,ER LEE PUEH YONG CS CONSULTING ENGINEERS PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|27/02/2015
A0781-00014-2013-BP01|PROPOSED ERECTION OF 2 BLOCKS OF 3-STOREY SINGLE USER GENERAL INDUSTRY BUILDINGS WITH TEMPORARY ANCILLARY WORKERS' DORMITORY FOR 72 WORKERS ON LOT 04738K MK 07 AT TUAS SOUTH STREET 10 (TUAS PLANNING AREA)|ON LOT(S) 04738K  MK07|MR WONG TOON JIN ADDP ARCHITECTS LLP|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|11/02/2015
A0781-00008-2013-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 8 BLOCKS OF 15-STOREY RESIDENTIAL BUILDINGS (TOTAL: 810 UNIT) AND 1 BLOCK OF MULTI-STOREY CARPARK WITH LANDSCAPE ROOF GARDEN, COMMUNITY FACILITIES, PRECINCT PAVILIONS & ESS AT BOON LAY AVENUE ON LOT(S) 03723K , 1354M , 1731T , 2171T  & 4512V  MK06 AT BOON LAY AVENUE|ON LOT(S) 03723K , 1354M , 1731T , 2171T  & 4512V  MK06 AT BOON LAY AVENUE|MR WONG TOON JIN ADDP ARCHITECTS LLP|ER LIM YAN PING SCE CONSULTANTS (PTE),ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES,ER TAN MENG LIANG MTECH CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|07/02/2015
A0781-00001-2012-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 30/31-STOREY FLATS (TOTAL:755 UNITS) AND 1 BLOCK OF MULTI-STOREY CARPARK WITH COMMUNITY FACILITIES, PRECINCT PAVILION & ESS AT JALAN TENTERAM ROAD (KALLANG-WHAMPOA PLANNING AREA) ON LOT(S) 00932A , 08639A , 086711V , 08680L , 08684V , 08686T , 08686V , 08690A , 08692N , 08694L , 09346A  & 09567P  MK17 AT JALAN TENTERAM|ON LOT(S) 00932A , 08639A , 086711V , 08680L , 08684V , 08686T , 08686V , 08690A , 08692N , 08694L , 09346A  & 09567P  MK17 AT JALAN TENTERAM|MR WONG TOON JIN ADDP ARCHITECTS LLP|Mr SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,Mr TEO KOK JIN KTP CONSULTANTS PTE LTD, CHEANG YEW KEE J. PRO CONSULTING ENGINEERS LLP,Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|20/02/2014
A0780-14011-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY SINGLE-USER FACTORY ON LOT(S) 00324T  MK07 AT 3 GUL STREET 1|ON LOT(S) 00324T  MK07 AT 3 GUL STREET 1|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER CHUANG FERN CF CONSULTANTS|18/02/2015
A0780-14006-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO AN EXISTING SINGLE-USER FACTORY ON LOT(S) 00243L  MK07 AT 16 GUL DRIVE|ON LOT(S) 00243L  MK07 AT 16 GUL DRIVE|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER AZIZ BIN MANIJAN AZFA CONSULTANT|23/02/2015
A0780-12020-2013-BP01|PROPOSED ERECTION OF A SINGLE STOREY WAREHOUSE/WORKSHOP WITH A 2-STOREY ANCILLARY OFFICE ON LOT(S) 4581  MK07 AT TUAS SOUTH STREET 8|ON LOT(S) 4581  MK07 AT TUAS SOUTH STREET 8|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER AZIZ BIN MANIJAN AZFA CONSULTANT|05/02/2015
A0779-91706-2009-BP02|PROPOSED ADDITIONS AND ALTERATIONS INVOLVING ADDITIONS OF A NEW LIFT TO EXISTING 4-STOREY HDB COMMERCIAL BUILDING AT BLOCK 962 JURONG WEST STREET 91 ON LOT(S) 01711T  MK09|ON LOT(S) 01711T  MK09|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER LIM YAN PING SCE CONSULTANTS (PTE)|25/02/2015
A0779-20003-2014-BP01|PROPOSED ADDITION & ALTERATION TO 1ST AND 16TH STOREY OF EXISTING 16-STOREY WAREHOUSE DEVELOPMENT WITH ANCILLARY OFFICE, BUS INTERCHANGE, COMMERCIAL USES ON LOT(S) 04635K  & 04756N  MK07 AT 1 JOO KOON CIRCLE|ON LOT(S) 04635K  & 04756N  MK07 AT 1 JOO KOON CIRCLE|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER LIM YAN PING SCE CONSULTANTS (PTE)|25/02/2015
A0779-91701-2009-BP02|PROPOSED ADDITIONS AND ALTERATIONS INVOLVING ADDITIONS OF A NEW LIFT TO EXISTING 3-STOREY HDB COMMERCIAL BUILDING AT BLOCK 114 ALJUNIED AVENUE 2 ON LOT(S) 07234P  MK24|ON LOT(S) 07234P  MK24|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER LIM YAN PING SCE CONSULTANTS (PTE)|25/02/2015
A0775-00026-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS ( INVOLVING ADDITIONAL STORES AND NEW ENTRANCE ) TO EXISTING SINGLE STOREY SINGLE USER FACTORY WITH MEZZANINE OFFICE ON LOT 00572L MK 07 AT 36 JOO KOON CIRCLE|ON LOT(S) 00572L  MK07|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|10/02/2015
A0775-00025-2013-BP01|PROPOSED OUTDOOR PLATFORM GLASS LIFT FOR DISABLED (4 LEVELS) FOR SAINT ANDREW'S JUNIOR COLLEGE ON LOT 06769A MK 17 AT 5 SORBY ADAMS DRIVE|ON LOT(S) 06769A  MK17 AT 55 POTONG PASIR AVENUE 1 SINGAPORE 358389|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|TAN BIN KEONG B K TAN CONSULTANTS|07/02/2014
A0775-00016-2014-BP01|PROPOSED COVERED LINKWAY FROM EXT'G COVERED L.WAY TO ANCHORVALE CC @1ST,2ND STY & CHANGE OF USE FR PART CORRIDOR TO CC OFFICE @2ND,PARTITION WORK TO READING @1ST STY, CONVERSION OF PLANTER TO STUDY @3RD & COVERED PARTITION FOR ACTIVITY @ROOF TERRACE ON LOT(S) 01869L  MK21 AT 59 ANCHORVALE ROAD|ON LOT(S) 01869L  MK21 AT 59 ANCHORVALE ROAD|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER SOH MENG SENG CERICORN CONSULTANTS|09/02/2015
A0768-00002-2014-BP02|PROPOSED ADDITIONS AND ALTERATIONS TO 3-STOREY CONSERVED SHOPHOUSE AND CHANGE OF USE FOR 1ST STOREY FROM RESTAURANT TO SHOP AND USE OF 2ND AND 3RD STOREYS AS OFFICE ON LOT 02087L TS 18 AT 121 SERANGOON ROAD|ON LOT(S) 02087L  TS18 AT 121 SERANGOON ROAD|MR LIM ENG KHOON LIM ENG KHOON ARCHITECTS|ER FOO CHEANG KAM MM ENGINEERING CONSULTANTS|25/02/2015
A0772-01178-2013-BP01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 07012A MK 18 AT 101 TAMARIND ROAD (SERANGOON)[BREAK-AWAY FROM HOUSE NO.100 TAMARIND ROAD (LOT 07013K MK18)]|ON LOT(S) 07012A  MK18 AT 101 TAMARIND ROAD|MS WO MEI LAN LIU & WO ARCHITECTS PTE LTD|CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS|19/02/2014
A0755-00004-2013-BP02|PROPOSED ERECTION OF A 6-STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT (BUSINESS 1) WITH A TEMPORARY STAFF CANTEEN ON LOT 02503P MK23 AT NO. 115 EUNOS AVENUE 3 (GEYLANG PLANNING AREA)|ON LOT(S) 02503P  MK23|MR KAN KON CHEONG KC KAN & ASSOCIATES ARCHITECTS|ER LIM WAI SING CHINA SINGAPORE SUZHON INDUSTRIAL PARK DEVELOPMENT,ER TAI TAN YIN T H CHUAH & PARTNERS|13/02/2015
A0757-46502-2012-BP03|PROPOSED ADDITION/ALTERATION TO EXISTING 5-STOREY COMMUNITY BUILDING (CHUA CHU KANG COMMUNITY CLUB) ON LOT 01404T PT MK11 AT 35 TECK WHYE SINGAPORE 688892 FOR PEOPLE'S ASSOCIATION (CHOA CHU KANG AREA)|ON LOT(S) 01404T  MK11|MR LAU KWONG CHUNG LT&T ARCHITECTS|ER Tan Hock Lye HL Civil & Structural Consultant,ER NG SHU WEI SHARRON ECAS-EJ Consultants Pte Ltd|02/02/2015
A0749-02296-2013-BP01|PROPOSED CONVERSION OF EXISTING 1ST STOREY VOID DECK TO SOCIAL SERVICE CENTRE ON LOT(S) 03277A  MK13 AT 646  WOODLANDS RING ROAD|ON LOT(S) 03277A  MK13 AT 646  WOODLANDS RING ROAD|MR TAN YEN SAN YI ARCHITECTS||05/02/2014
A0751-00193-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING CENTRAL MALL ON LOT 00327P TS08 AT 1 MAGAZINE ROAD (SINGAPORE RIVER PLANNING AREA)|ON LOT(S) 00327P  TS08 AT 1 MAGAZINE ROAD|MR CHOO KWONG WAH PEARL ARCHITECTS|ER PHUA TAI MIN SA&P ASSOCIATES|25/02/2014
A0749-00310-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS INVOLVING INTERNAL PARTITION TO EXISTING EDUCATION CENTRE AT 1ST STOREY VOID DECK ON LOT(S) 03373K  MK28 AT 262 TAMPINES STREET 21|ON LOT(S) 03373K  MK28 AT 262 TAMPINES STREET 21|MR TAN YEN SAN YI ARCHITECTS||11/02/2015
A0749-00275-2011-BP02|PROPOSED CONVERSION OF EXISTING 1ST STOREY VOID DECK TO SENIOR CITIZEN ACTIVITY CENTER AS AN EXTENSION TO THE EXISTING ON LOT(S) 02129L  & 02131X  TS24 AT BLOCK 79  INDUS ROAD|ON LOT(S) 02129L  & 02131X  TS24 AT BLOCK 79  INDUS ROAD|MR TAN YEN SAN YI ARCHITECTS|ER TAN YEN KEE CSE CONSULTANTS|02/02/2015
A0741-00001-2011-BP01|PROPOSED ERECTION OF 3-STOREY 66KV ELECTRICAL SUBSTATION AT SIN MING INDUSTRIAL ESTATE SECTOR B ON LOT 14899K PT & 16881L PT MK 18 AT SIN MING INDUSTRIAL ESTATE SECTOR B (BISHAN PLANNING AREA)|ON LOT(S) 14899K  & 16881L  MK18 AT SIN MING INDUSTRIAL ESTATE SECTOR B|MDM CHAN DAISY JURONG CONSULTANTS PTE LTD|MR ONG CHO WHATT JOSHUA LAND TRANSPORT AUTHORITY,Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|28/02/2014
A0712-03131-2013-BP01|PROPOSED DEVELOPMENT OF A 9-STOREY NURSING HOME ON PART LOT 09294X MK 24 AT GEYLANG EAST CENTRAL (GEYLANG PLANNING AREA) ON LOT(S) 09294X  MK24|ON LOT(S) 09294X  MK24|MR LAURENCE TAN JER KIAT CONSORTIUM 168 ARCHITECTS PTE LTD||18/02/2015
A0711-02170-2013-BP01|PROPOSED ADDITION AND ALTERATION TO THE EXISTING 2-STOREY CONSERVED INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF ROOF MEZZANINE ON LOT 96517L MK 26 AT 11 KOON SENG ROAD|ON LOT(S) 96517L  MK26 AT 11 KOON SENG ROAD SINGAPORE 426961|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECTS|Mr M SIVAKUMARAN SMS CONSULTING ENGINEERS|06/02/2014
A0711-01774-2011-BP02|PROPOSED ERECTION OF 3-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC AND ROOF GARDEN ON LOT 03026X MK 06 AT 2 YUNNAN DRIVE 1 (JURONG WEST PLANNING AREA)|ON LOT(S) 03026X  MK06 AT 2  YUNNAN DRIVE 1|MR TOW SIANG CHOW JTP ARCHITECTS|Mr GOH YONG CHENG YC GOH CONSULTANTS,Mr WONG YOK SIONG ASTON CONSULTING ENGINEERS|10/02/2014
A0706-00001-2012-BP03|PROPOSED NEW ERECTION OF A 6 STOREY SINGLE USER WAREHOUSE ON LOT 00276A MK01 AT 10 CHANG CHARN ROAD AND A&A TO APPROVED 6 STOREY SINGLE USER LIGHT INDUSTRY WITH MEZZANINE FLOOR AT 1ST STOREY ON LOT 00464W MK01 AT 8 CHANG CHARN ROAD INTO A SINGLE INTEGRATE|ON LOT(S) 00276A  & 00464W  MK01 AT 8,10 CHANG CHARN ROAD|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK|ER WOH SOW CHOON S C WOH CONSULTING ENGINEERS,ER LEE CHI KUAN LONGROVE & ASSOCIATES PTE LTD,ER TAN HOOI KIAT THK CONSULTANT ENGINEERS,ER THONG TUCK SENG YR 2000 ENGINEERING CONSULTANTS,ER TAN KHENG SOON EASE CONSULTANTS|05/02/2015
A0673-00002-2011-BP02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLKS OF 6/12/15/17/18-STOREY RESIDENTIAL BUILDING (TOTAL 832 UNITS), 1 BLK OF MULTI-STOREY CARPARK AND 2 BLKS OF ESS, WITH COMMUNITY FACILITIES, PRECINCT PAVILIONS & COMMON GREEN AT EDGEFIELD PLAINS (PGE C3 ON LOT(S) 02533M  & 02534W  MK21 AT EDGEFIELD PLAINS|ON LOT(S) 02533M  & 02534W  MK21 AT EDGEFIELD PLAINS|MDM SIW FER LIN SURBANA INTERNATIONAL PTE LTD|ER NG PENG YUEN SURBANA INTERNATIONAL CONSULTANTS PTE LTD, ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD,ER CHEANG YEW KEE J. PRO CONSULTING ENGINEERS LLP|13/02/2015
A0650-00553-2014-BP01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH OPEN ROOF TERRACE ON LOT(S) 1366L  MK20 AT 5 SPRINGLEAF GARDEN|ON LOT(S) 1366L  MK20 AT 5 SPRINGLEAF GARDEN|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|ER SOH MENG SENG CERICORN CONSULTANTS|10/02/2015
A0659-00209-2011-BP01|PROPOSED ERECTION OF 1 UNIT OF 3-STOREY CORNER TERRACE HOUSE WITH SWIMMING POOL AND 1 UNIT OF 3-STOREY INTERMEDIATE TERRACE  HOUSE WITH LIFTS AND OPEN ROOF TERRACES ON LOT(S) 6784W  MK22 AT PARRY VIEW|ON LOT(S) 6784W  MK22 AT PARRY VIEW|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|ER LIM KENG CHUA RICHARD K C LIM & PARTNERS|12/02/2014
A0650-00541-2014-BP01|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH PROVISION OF ATTIC ON LOT(S) 07350M  MK18 AT 93  CLOVER WAY|ON LOT(S) 07350M  MK18 AT 93  CLOVER WAY|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|ER SOH MENG SENG CERICORN CONSULTANTS|17/02/2015
A0650-00107-2013-BP01|PROPOSED NEW ERECTION OF 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 05611W MK18 AT 16 THOMSON HILLS DRIVE (ANG MO KIO PLANNING AREA)|ON LOT(S) 05611W  MK18 AT 16 THOMSON HILLS DRIVE|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|Mr TEO JIN KWEE ATC CONSULTING PTE LTD|17/02/2014
A0650-00102-2012-BP01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH PROVISION OF OPEN ROOF TERRACE ON LOT 02855X MK 22 AT 2 LEITH PARK (HOUGANG PLANNING AREA)|ON LOT(S) 02855X  MK22 AT 2 LEITH PARK|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|Mr TEO JIN KWEE ATC CONSULTING PTE LTD|13/02/2014
A0650-00102-2013-BP01|PROPOSED NEW ERECTION OF EXISTING SINGLE-STOREY CORNER TERRACE DWELLING HOUSE TO A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 94144C MK 26 AT 18 SIGLAP RISE|ON LOT(S) 94144C  MK26|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|Mr YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|25/02/2014
A0647-00371-2013-BP01|PROPOSED HIP PUBLIC HOUSING DEVELOPMENT COMPRISING BLOCK 201 TO 206 WITH NEW CONSUMER SWITCH ROOM AT 1ST STOREY, UPGRADED OF EXISTING SUB-STATION ON LOT 04447X, 04446N, 04445K, 04444A, 04443T & 04442P MK 05 AT CLEMENTI AVENUE 6.|ON LOT(S) 04442P , 04443T , 04444A , 04445K , 04446N  & 04447X  MK05 AT 201 CLEMENTI AVENUE 6,  206 CLEMENTI AVENUE 6|MR SEAH SENG NGUAN, JOHN AGA ARCHITECTS PTE LTD||10/02/2014
